,LocationID,Borough,Zone
6121,113,Manhattan,Greenwich Village North
6122,100,Manhattan,Garment District
6123,132,Queens,JFK Airport
6124,229,Manhattan,Sutton Place/Turtle Bay North
6125,142,Manhattan,Lincoln Square East
6126,88,Manhattan,Financial District South
6127,24,Manhattan,Bloomingdale
6128,233,Manhattan,UN/Turtle Bay South
6129,114,Manhattan,Greenwich Village South
6130,112,Brooklyn,Greenpoint
6131,238,Manhattan,Upper West Side North
6132,170,Manhattan,Murray Hill
6133,237,Manhattan,Upper East Side South
6134,41,Manhattan,Central Harlem
6135,24,Manhattan,Bloomingdale
6136,211,Manhattan,SoHo
6137,229,Manhattan,Sutton Place/Turtle Bay North
6138,132,Queens,JFK Airport
6139,113,Manhattan,Greenwich Village North
6140,140,Manhattan,Lenox Hill East
6141,141,Manhattan,Lenox Hill West
6142,116,Manhattan,Hamilton Heights
6143,4,Manhattan,Alphabet City
6144,233,Manhattan,UN/Turtle Bay South
6145,236,Manhattan,Upper East Side North
6146,138,Queens,LaGuardia Airport
6147,211,Manhattan,SoHo
6148,68,Manhattan,East Chelsea
6149,179,Queens,Old Astoria
6150,170,Manhattan,Murray Hill
6151,79,Manhattan,East Village
6152,161,Manhattan,Midtown Center
6153,107,Manhattan,Gramercy
6154,114,Manhattan,Greenwich Village South
6155,142,Manhattan,Lincoln Square East
6156,224,Manhattan,Stuy Town/Peter Cooper Village
6157,263,Manhattan,Yorkville West
6158,75,Manhattan,East Harlem South
6159,158,Manhattan,Meatpacking/West Village West
6160,168,Bronx,Mott Haven/Port Morris
6161,50,Manhattan,Clinton West
6162,164,Manhattan,Midtown South
6163,229,Manhattan,Sutton Place/Turtle Bay North
6164,125,Manhattan,Hudson Sq
6165,42,Manhattan,Central Harlem North
6166,224,Manhattan,Stuy Town/Peter Cooper Village
6167,236,Manhattan,Upper East Side North
6168,114,Manhattan,Greenwich Village South
6169,231,Manhattan,TriBeCa/Civic Center
6170,234,Manhattan,Union Sq
6171,239,Manhattan,Upper West Side South
6172,238,Manhattan,Upper West Side North
6173,79,Manhattan,East Village
6174,263,Manhattan,Yorkville West
6175,249,Manhattan,West Village
6176,140,Manhattan,Lenox Hill East
6177,161,Manhattan,Midtown Center
6178,249,Manhattan,West Village
6179,116,Manhattan,Hamilton Heights
6180,163,Manhattan,Midtown North
6181,50,Manhattan,Clinton West
6182,229,Manhattan,Sutton Place/Turtle Bay North
6183,263,Manhattan,Yorkville West
6184,239,Manhattan,Upper West Side South
6185,142,Manhattan,Lincoln Square East
6186,234,Manhattan,Union Sq
6187,48,Manhattan,Clinton East
6188,48,Manhattan,Clinton East
6189,145,Queens,Long Island City/Hunters Point
6190,164,Manhattan,Midtown South
6191,141,Manhattan,Lenox Hill West
6192,132,Queens,JFK Airport
6193,90,Manhattan,Flatiron
6194,107,Manhattan,Gramercy
6195,41,Manhattan,Central Harlem
6196,114,Manhattan,Greenwich Village South
6197,231,Manhattan,TriBeCa/Civic Center
