,lat,lng,location_i,objectid,shape_area,shape_leng,boro,geometry
0,40.68951515,-74.17677855,1,1,0.000782307,0.116357453,Essex County,[[(-74.18445299999996
1,40.62572507,-73.82614119,2,2,0.00486634,0.433469667,Queens,[[[(-73.82337597260663
2,40.86587205,-73.84947971,3,3,0.000314414,0.084341106,Bronx,[[(-73.84792614099985
3,40.72415082,-73.97702385,4,4,0.000111872,0.043566527,Manhattan,[[(-73.97177410965318
4,40.55033881,-74.18993822,5,5,0.000497957,0.09214649,Staten Island,[[(-74.17421738099989
5,40.59905405,-74.06778442,6,6,0.000606461,0.150490543,Staten Island,[[(-74.06367318899999
6,40.76109419,-73.92148224,7,7,0.000389788,0.107417171,Queens,[[(-73.90413637799996
7,40.77860919,-73.92319964,8,8,2.66E-05,0.027590691,Queens,[[(-73.92334041500001
8,40.75439917,-73.78801939,9,9,0.000338444,0.099784092,Queens,[[(-73.78502434699996
9,40.80203268,-73.9655685,24,24,6.07E-05,0.046999962,Manhattan,[[(-73.95953658899997
10,40.67810188,-73.79165486,10,10,0.000435824,0.099839479,Queens,[[(-73.78326624999988
11,40.60397814,-74.01061458,11,11,0.000264521,0.079211039,Brooklyn,[[(-74.00109809499993
12,40.70248757,-74.01548982,12,12,4.15E-05,0.036661301,Manhattan,[[(-74.01565756599994
13,40.71161204,-74.01611968,13,13,0.000149359,0.050281323,Manhattan,[[(-74.01244109299991
14,40.86876865,-73.88692344,18,18,0.00014885,0.06979955,Bronx,[[(-73.88513907699999
15,40.68561568,-73.98645967,25,25,0.000124168,0.04714582,Brooklyn,[[(-73.98155298299992
16,40.62358339,-74.0304481,14,14,0.001381778,0.175213698,Brooklyn,[[(-74.03407329297129
17,40.78524536,-73.78799354,15,15,0.000925219,0.144336223,Queens,[[(-73.7774039129087
18,40.60962622,-73.9942964,22,22,0.000472063,0.126170229,Brooklyn,[[(-73.99254973599997
19,40.60742846,-74.15934112,23,23,0.002195566,0.290556029,Staten Island,[[(-74.19568609223377
20,40.76123433,-73.77167563,16,16,0.000871889,0.141291874,Queens,[[(-73.7685730499999
21,40.69199126,-73.94918077,17,17,0.000322958,0.093522633,Brooklyn,[[(-73.94306406899986
22,40.73647167,-73.72789617,19,19,0.000546661,0.101824875,Queens,[[(-73.72339596299987
23,40.8577731,-73.88603534,20,20,0.000134513,0.051440192,Bronx,[[(-73.88386792099986
24,40.60204893,-73.98130142,21,21,0.000380251,0.115973569,Brooklyn,[[(-73.97418385499991
25,40.62861341,-73.98956056,26,26,0.00053404,0.123547807,Brooklyn,[[(-73.98331628499983
26,40.55894211,-73.90978173,27,27,0.001340888,0.202508809,Queens,[[(-73.86522555399998
27,40.71085161,-73.8073149,28,28,0.000291204,0.097960782,Queens,[[(-73.79240413399991
28,40.69623868,-73.99532888,33,33,0.000147417,0.053270293,Brooklyn,[[(-73.99619227264343
29,40.58219337,-73.96058036,29,29,0.000201674,0.071408313,Brooklyn,[[(-73.96004798699995
30,40.85992588,-73.87572138,31,31,0.000333976,0.096424567,Bronx,[[(-73.87094462199981
31,40.8644452,-73.86462433,32,32,0.000150879,0.054267216,Bronx,[[(-73.85882515999995
32,40.6048767,-73.82009794,30,30,0.000145862,0.094509767,Queens,[[(-73.82075892499992
33,40.70256053,-73.96770116,34,34,0.000173946,0.065705932,Brooklyn,[[[(-73.97232032119902
34,40.66379906,-73.91247141,35,35,0.000323825,0.085787919,Brooklyn,[[(-73.90105329800004
35,40.69887399,-73.91619427,36,36,0.000247666,0.087050787,Brooklyn,[[(-73.91254913799993
36,40.69626287,-73.92594082,37,37,0.000452063,0.14281004,Brooklyn,[[(-73.93312548700004
37,40.69331683,-73.73555034,38,38,0.000327393,0.083217569,Queens,[[(-73.73624941199995
38,40.63887768,-73.89978226,39,39,0.000900283,0.132369621,Brooklyn,[[[(-73.89121853499988
39,40.67850356,-73.99581791,40,40,0.000108949,0.051850665,Brooklyn,[[(-73.998192111
40,40.80420432,-73.95206437,41,41,0.000143093,0.052793109,Manhattan,[[(-73.94773985499985
41,40.71305847,-73.99825255,45,45,9.14E-05,0.045906863,Manhattan,[[(-73.99750445299988
42,40.84746947,-73.78642596,46,46,0.000926392,0.13447543,Bronx,[[[(-73.78452431937963
43,40.82104325,-73.93951934,42,42,0.000263897,0.092709227,Manhattan,[[(-73.93436121591056
44,40.7824596,-73.96557217,43,43,0.000379663,0.099738618,Manhattan,[[(-73.97255352299985
45,40.52731689,-74.2295255,44,44,0.001944656,0.235688968,Staten Island,[[(-74.21220034099993
46,40.8457548,-73.89692894,47,47,0.000163198,0.089827556,Bronx,[[(-73.89090203399996
47,40.76223669,-73.98985665,48,48,9.43E-05,0.043746744,Manhattan,[[(-73.99117738199989
48,40.68851444,-73.96493347,49,49,0.000203186,0.075290018,Brooklyn,[[(-73.96062056499981
49,40.76669181,-73.99389977,50,50,0.000173249,0.055747987,Manhattan,[[(-73.99667705784736
50,40.87407236,-73.83041955,51,51,0.000395757,0.095361344,Bronx,[[(-73.82091617199997
51,40.68660399,-73.99692272,52,52,4.52E-05,0.028907671,Brooklyn,[[(-73.99588110299992
52,40.78198361,-73.84407924,53,53,0.000947531,0.161500913,Queens,[[[(-73.83839013354552
53,40.68699057,-74.00309348,54,54,0.000132452,0.076219245,Brooklyn,[[[(-74.00174362072502
54,40.57689727,-73.99047356,55,55,0.000736275,0.149956808,Brooklyn,[[(-73.98671582299981
55,40.74159852,-73.85905619,56,56,0.000180908,0.056847813,Queens,[[(-73.85360568399982
56,40.75231476,-73.85338382,56,57,1.80E-05,0.019270505,Queens,[[(-73.8513110499998
57,40.84150887,-73.82072506,58,58,0.000204981,0.059855409,Bronx,[[(-73.8156138206772
58,40.83885568,-73.89307669,59,59,6.29E-05,0.037794807,Bronx,[[(-73.88941724899998
59,40.83129366,-73.88978027,60,60,0.000161833,0.078648288,Bronx,[[(-73.87823856799989
60,40.67384137,-73.94128334,61,61,0.000510772,0.117310808,Brooklyn,[[(-73.92916130699992
61,40.66708332,-73.94926891,62,62,0.000158238,0.082259336,Brooklyn,[[(-73.92916752199997
62,40.68482297,-73.8776772,63,63,0.000353191,0.119100722,Brooklyn,[[(-73.86650407899992
63,40.76066829,-73.73145278,64,64,0.001057903,0.184451885,Queens,[[(-73.74412314584049
64,40.69537195,-73.98557091,65,65,8.18E-05,0.044607068,Brooklyn,[[(-73.98712491499988
65,40.6524529,-73.92020938,72,72,0.000323532,0.09520207,Brooklyn,[[(-73.92021313099984
66,40.70173221,-73.98638245,66,66,0.000108379,0.054633459,Brooklyn,[[(-73.97906084869959
67,40.61845402,-74.01473594,67,67,0.000394282,0.099747078,Brooklyn,[[(-74.0109702639999
68,40.74839716,-73.99994016,68,68,0.000111073,0.04933738,Manhattan,[[(-74.00201937799989
69,40.75369682,-73.80660108,73,73,0.0002918,0.085302021,Queens,[[(-73.79566545000002
70,40.83060445,-73.9153683,69,69,0.000199052,0.078989645,Bronx,[[(-73.91179361999995
71,40.76394772,-73.86840539,70,70,0.000195458,0.063840318,Queens,[[(-73.85912375899987
72,40.64392875,-73.93773458,71,71,0.000382573,0.093169455,Brooklyn,[[(-73.93177153199984
