BoroName,BoroCode,CTLabel,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
Brooklyn,3,64,6400,3006400,I,BK31,Bay Ridge,4013,5927.578458,2186814.718
Brooklyn,3,138,13800,3013800,E,BK31,Bay Ridge,4013,6620.928677,1749765.079
Brooklyn,3,62,6200,3006200,E,BK31,Bay Ridge,4013,5368.681405,1746843.264
Brooklyn,3,148,14800,3014800,I,BK30,Dyker Heights,4013,5247.73083,1437563.891
Brooklyn,3,400,40000,3040000,E,BK29,Bensonhurst East,4017,6639.763571,2058373.047
Brooklyn,3,410,41000,3041000,E,BK29,Bensonhurst East,4017,5990.265168,1537209.751
Brooklyn,3,232,23200,3023200,E,BK88,Borough Park,4014,7284.636123,2436821.503
Brooklyn,3,234,23400,3023400,E,BK88,Borough Park,4014,6241.897363,1827230.585
Brooklyn,3,116,11600,3011600,E,BK88,Borough Park,4014,5869.317339,1724997.732
Brooklyn,3,216,21600,3021600,E,BK88,Borough Park,4014,6210.278881,1810243.926
Brooklyn,3,218,21800,3021800,E,BK88,Borough Park,4014,5927.279419,1698856.968
Brooklyn,3,100,10000,3010000,E,BK34,Sunset Park East,4012,5203.434379,1625060.713
Brooklyn,3,106,10600,3010600,E,BK34,Sunset Park East,4012,5203.318579,1624784.393
Brooklyn,3,90,9000,3009000,E,BK34,Sunset Park East,4012,5208.353467,1631111.772
Brooklyn,3,92,9200,3009200,E,BK34,Sunset Park East,4012,4679.945411,1218874.037
Staten Island,5,319.01,31901,5031901,E,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,3903,8255.026895,4126595.873
Queens,4,424,42400,4042400,I,QN08,St. Albans,4112,10747.39931,5544421.163
Bronx,2,367,36700,2036700,E,BX17,East Tremont,3705,4543.819373,1005438.136
Brooklyn,3,510.02,51002,3051002,E,BK42,Flatbush,4015,4483.609815,1152098.91
Brooklyn,3,794,79400,3079400,I,BK95,Erasmus,4010,6265.762733,2391961.702
Brooklyn,3,490,49000,3049000,E,BK41,Kensington-Ocean Parkway,4014,6705.71985,2074872.144
Brooklyn,3,492,49200,3049200,E,BK41,Kensington-Ocean Parkway,4014,8133.973004,1780102.394
Brooklyn,3,295,29500,3029500,I,BK35,Stuyvesant Heights,4003,5437.799652,1771508.222
Brooklyn,3,383,38300,3038300,I,BK35,Stuyvesant Heights,4003,5635.046786,1878496.832
Brooklyn,3,392,39200,3039200,E,BK25,Homecrest,4016,5599.31156,1875666.476
Brooklyn,3,584,58400,3058400,I,BK25,Homecrest,4016,5767.691707,2029005.365
Manhattan,1,84,8400,1008400,I,MN17,Midtown-Midtown South,3807,5690.701888,1862741.736
Queens,4,610,61000,4061000,I,QN33,Cambria Heights,4105,6537.755704,2619530.991
Brooklyn,3,296,29600,3029600,E,BK28,Bensonhurst West,4017,7396.971075,2300496.595
Queens,4,612,61200,4061200,I,QN33,Cambria Heights,4105,7123.41287,2830128.081
Bronx,2,337,33700,2033700,I,BX22,North Riverdale-Fieldston-Riverdale,3701,13097.26798,4663991.966
Queens,4,521,52100,4052100,I,QN30,Maspeth,4110,7333.109822,2033478.616
Bronx,2,269,26900,2026900,E,BX30,Kingsbridge Heights,3706,12024.04819,4243317.364
Queens,4,444,44400,4044400,I,QN61,Jamaica,4112,20651.40916,9708088.775
Queens,4,468,46800,4046800,E,QN61,Jamaica,4112,6509.98907,2471077.983
Bronx,2,129.01,12901,2012901,E,BX33,Longwood,3710,7111.235982,1684031.117
Bronx,2,159,15900,2015900,E,BX27,Hunts Point,3710,4432.934218,1112938.802
Brooklyn,3,2,200,3000200,I,BK32,Sunset Park West,4012,9075.284871,2952085.216
Queens,4,517,51700,4051700,E,QN30,Maspeth,4110,9909.280095,2639981.842
Queens,4,607.01,60701,4060701,I,QN21,Middle Village,4110,19120.27398,7642774.666
Queens,4,1113,111300,4111300,I,QN46,Bayside-Bayside Hills,4104,13430.26913,7825364.148
Queens,4,1123,112300,4112300,I,QN46,Bayside-Bayside Hills,4104,7802.581082,3005919.34
Queens,4,358,35800,4035800,I,QN66,Laurelton,4105,9912.326627,5641713.797
Queens,4,646,64600,4064600,I,QN66,Laurelton,4105,9231.135595,4377809.577
Queens,4,479,47900,4047900,E,QN50,Elmhurst-Maspeth,4109,11161.85371,4181150.655
Brooklyn,3,772,77200,3077200,I,BK42,Flatbush,4015,10391.96455,4351946.216
Brooklyn,3,770,77000,3077000,E,BK42,Flatbush,4015,7131.172012,1760973.139
Brooklyn,3,788,78800,3078800,E,BK42,Flatbush,4015,5907.541932,1698020.281
Brooklyn,3,203,20300,3020300,I,BK64,Prospect Heights,4006,5265.168565,1512110.998
Brooklyn,3,199,19900,3019900,I,BK69,Clinton Hill,4004,5989.624771,2037876.603
Brooklyn,3,201,20100,3020100,I,BK69,Clinton Hill,4004,6244.380536,1884866.892
Queens,4,818,81800,4081800,E,QN55,South Ozone Park,4113,9946.326526,4030424.905
Queens,4,846.02,84602,4084602,I,QN55,South Ozone Park,4113,19318.92104,8100613.501
Queens,4,809,80900,4080900,I,QN37,Kew Gardens Hills,4106,16399.90757,10755472.79
Manhattan,1,142,14200,1014200,I,MN40,Upper East Side-Carnegie Hill,3805,5821.704938,1927688.369
Brooklyn,3,361,36100,3036100,E,BK79,Ocean Hill,4007,6064.699936,1524420.557
Brooklyn,3,311,31100,3031100,E,BK61,Crown Heights North,4006,5467.523336,1587578.988
Brooklyn,3,313,31300,3031300,E,BK61,Crown Heights North,4006,5465.787025,1832521.659
Brooklyn,3,962,96200,3096200,I,BK50,Canarsie,4009,5460.115474,1920772.157
Queens,4,713.05,71305,4071305,I,QN17,Forest Hills,4108,5274.454586,1418825.25
Queens,4,178,17800,4017800,E,QN55,South Ozone Park,4113,7512.829622,2054270.578
Queens,4,840,84000,4084000,E,QN55,South Ozone Park,4113,11400.17289,6120458.094
Brooklyn,3,610.02,61002,3061002,I,BK19,Brighton Beach,4018,7328.467107,2430047.014
Brooklyn,3,608,60800,3060800,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,17845.84871,4308322.454
Brooklyn,3,610.03,61003,3061003,E,BK19,Brighton Beach,4018,4774.85341,902889.4005
Brooklyn,3,292,29200,3029200,E,BK27,Bath Beach,4017,7237.068645,2183295.712
Brooklyn,3,294,29400,3029400,I,BK28,Bensonhurst West,4017,6711.719378,2039332.552
Brooklyn,3,589,58900,3058900,I,BK76,Greenpoint,4001,12130.36037,4574107.524
Queens,4,581,58100,4058100,E,QN20,Ridgewood,4110,5661.304707,1549682.781
Queens,4,577,57700,4057700,I,QN19,Glendale,4110,6441.767096,2030058.54
Queens,4,922,92200,4092200,I,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4114,13344.32217,6844418.04
Queens,4,579,57900,4057900,I,QN19,Glendale,4110,4076.285348,743111.0915
Queens,4,613.01,61301,4061301,I,QN20,Ridgewood,4110,15855.67502,7603813.961
Staten Island,5,132.04,13204,5013204,I,SI25,Oakwood-Oakwood Beach,3901,15213.56103,11249695.22
Queens,4,535,53500,4053500,I,QN30,Maspeth,4110,12525.95561,5465859.165
Queens,4,595,59500,4059500,I,QN20,Ridgewood,4110,9905.837681,4206657.728
Brooklyn,3,622,62200,3062200,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,12096.86579,2689303.886
Manhattan,1,309,30900,1030900,E,MN01,Marble Hill-Inwood,3801,7744.333741,3282243.119
Queens,4,998.01,99801,4099801,E,QN15,Far Rockaway-Bayswater,4114,9472.636212,4916319.444
Queens,4,184.02,18402,4018402,E,QN76,Baisley Park,4112,7150.593895,2287905.774
Queens,4,236,23600,4023600,E,QN35,Briarwood-Jamaica Hills,4106,5717.55591,1897473.67
Queens,4,238,23800,4023800,E,QN61,Jamaica,4112,5362.847542,1686741.553
Queens,4,432,43200,4043200,I,QN08,St. Albans,4112,9411.956845,2600532.567
Queens,4,954,95400,4095400,I,QN12,Hammels-Arverne-Edgemere,4114,18088.76074,8742496.092
Bronx,2,359,35900,2035900,E,BX17,East Tremont,3705,5538.123748,1452781.531
Bronx,2,361,36100,2036100,E,BX17,East Tremont,3705,5701.061645,1760194.005
Queens,4,108,10800,4010800,E,QN54,Richmond Hill,4111,6002.666709,1696627.413
