pickup_longitude,pickup_latitude,PUcity,PUdistrict
-73.960495,40.76977539,New York,Upper East Side
-74.0031662,40.70820236,New York,Financial District
-73.96399689,40.8080101,New York,Morningside Heights
-73.94615936,40.7731514,New York,Yorkville
-73.97422028,40.75713348,New York,Midtown Center
-73.93949127,40.79108047,New York,East Harlem
-73.98226166,40.76873779,New York,Clinton
-74.00402069,40.7132988,New York,Civic Center
-73.99526978,40.75986862,New York,Clinton
-73.98710632,40.71829605,New York,Lower East Side
-73.98631287,40.74335098,New York,Midtown South Central
-73.98126984,40.76350021,New York,Clinton
-73.9858017,40.75687027,New York,Theater District-Times Square
-74.0012207,40.71986771,New York,Chinatown
-73.99742126,40.72126007,New York,Little Italy
-73.97317505,40.75614929,New York,Midtown Center
-73.98027802,40.77528,New York,Lincoln Square
-73.97006989,40.75345612,New York,Turtle Bay
-73.98149872,40.76818466,New York,Central Park
-73.97916412,40.7526207,New York,Midtown South Central
-73.95339203,40.76478958,New York,Upper East Side
-73.99368286,40.7656517,New York,Clinton
-73.9799881,40.78403091,New York,Upper West Side
-73.99291229,40.75208282,New York,Garment District
-73.95706177,40.78046036,New York,Upper East Side
-73.95117188,40.77445984,New York,Yorkville
-73.99965668,40.70823669,New York,Financial District
-73.98506165,40.76076889,New York,Theater District-Times Square
-73.99112701,40.71748352,New York,Lower East Side
-73.78999329,40.64671326,Jamaica,
-73.97558594,40.75180054,New York,Midtown Center
-73.99345398,40.74978638,New York,Chelsea
-73.98839569,40.75836182,New York,Theater District-Times Square
-73.96165466,40.81127548,New York,Morningside Heights
-73.96788025,40.76559067,New York,Upper East Side
-74.01706696,40.70878601,New York,Battery Park City
-73.95515442,40.77313614,New York,Upper East Side
-73.94173431,40.81612778,New York,Harlem
-73.96855164,40.76444626,New York,Upper East Side
-73.98908234,40.74412918,New York,Midtown South Central
-73.97767639,40.74245834,New York,Kips Bay
-73.98153687,40.77371216,New York,Lincoln Square
-73.97068024,40.76184464,New York,Midtown Center
-73.96626282,40.7950058,New York,Upper West Side
-73.96177673,40.75949478,New York,Sutton Place
-73.99137115,40.71693802,New York,Chinatown
-73.98316193,40.75028229,New York,Midtown South Central
-73.97741699,40.78426361,New York,Upper West Side
-73.96035767,40.76182175,New York,Upper East Side
-73.96292114,40.77825165,New York,Upper East Side
-73.99999237,40.73296356,New York,Greenwich Village
-73.99242401,40.72540283,New York,Noho
-73.9821167,40.77880859,New York,Lincoln Square
-73.96168518,40.77101517,New York,Upper East Side
-73.9562912,40.76724625,New York,Upper East Side
-74.00061798,40.72961807,New York,Greenwich Village
-73.93069458,40.7610817,Astoria,Astoria
-73.95341492,40.7784996,New York,Yorkville
-73.99337006,40.76622772,New York,Clinton
-73.9775238,40.76408386,New York,Clinton
-73.99018097,40.7617569,New York,Clinton
-73.98777771,40.77049637,New York,Lincoln Square
-73.9576416,40.77366638,New York,Upper East Side
-74.00439453,40.74780273,New York,Chelsea
0,0,,
-73.94835663,40.78935242,New York,East Harlem
-74.01420593,40.71803284,New York,Battery Park City
-73.98316193,40.74969482,New York,Midtown South Central
-73.98736572,40.73880386,New York,Flatiron District
-73.96031952,40.76846313,New York,Upper East Side
-73.98941803,40.76274872,New York,Clinton
-73.99688721,40.74232483,New York,Chelsea
-73.99137878,40.74965286,New York,Chelsea
-73.96077728,40.77581406,New York,Upper East Side
-73.99201202,40.73111343,New York,Greenwich Village
-73.98872375,40.74853897,New York,Chelsea
-73.97702789,40.75936127,New York,Midtown Center
-74.00467682,40.73770142,New York,West Village
-74.00289154,40.76041412,New York,Hells Kitchen
-73.97374725,40.69329071,Brooklyn,Fort Greene
-73.98547363,40.76348495,New York,Clinton
-73.98268127,40.75784683,New York,Theater District-Times Square
-73.98990631,40.74684525,New York,Chelsea
-74.0142746,40.71402359,New York,Battery Park City
0,0,,
-74.01570892,40.71457291,New York,Battery Park City
-73.9536972,40.71071625,Brooklyn,East Williamsburg
-74.0021286,40.71941757,New York,Tribeca
-73.97922516,40.75308228,New York,Midtown Center
-73.97753906,40.75431824,New York,Midtown Center
-73.95960999,40.77626419,New York,Upper East Side
-73.97433472,40.75502014,New York,Midtown Center
-73.96231079,40.8100853,New York,Morningside Heights
-74.00992584,40.70491028,New York,Financial District
-74.00314331,40.74929047,New York,Chelsea
-73.95542145,40.77931213,New York,Upper East Side
-74.00643158,40.73329926,New York,West Village
-73.96144104,40.76046753,New York,Upper East Side
-73.99698639,40.74746704,New York,Chelsea
-73.99942017,40.74386597,New York,Chelsea
-73.96305847,40.76420975,New York,Upper East Side
-73.96656799,40.79419327,New York,Upper West Side
-73.98618317,40.77737808,New York,Lincoln Square
-73.98674011,40.72986603,New York,East Village
-73.99356842,40.74906158,New York,Chelsea
0,0,,
-73.98347473,40.74446487,New York,Midtown South Central
-73.97808075,40.75270081,New York,Midtown Center
-73.99913788,40.72792053,New York,Greenwich Village
-73.95204926,40.77325821,New York,Yorkville
-73.98236847,40.75767136,New York,Theater District-Times Square
-73.98609161,40.75756073,New York,Theater District-Times Square
-73.98210144,40.77696609,New York,Lincoln Square
-73.97114563,40.76091385,New York,Midtown Center
-73.98228455,40.73201752,New York,Gramercy Park
-73.95350647,40.78425217,New York,Upper East Side
-73.99851227,40.73519897,New York,West Village
-73.95436859,40.80557251,New York,Harlem
-73.9921875,40.71577454,New York,Chinatown
-73.97902679,40.75324249,New York,Midtown Center
-73.96737671,40.75865173,New York,Turtle Bay
-73.99708557,40.72277069,New York,Soho
-73.98989105,40.72932816,New York,East Village
-73.97871399,40.78520584,New York,Upper West Side
-73.98519897,40.74736023,New York,Midtown South Central
-74.00157928,40.75152588,New York,Chelsea
-73.9801712,40.74295807,New York,Kips Bay
-73.98215485,40.74548721,New York,Kips Bay
-74.00618744,40.73430634,New York,West Village
-73.98573303,40.74966812,New York,Koreatown
-73.95549774,40.76888657,New York,Upper East Side
-73.97299957,40.75601196,New York,Midtown Center
-73.99125671,40.7498703,New York,Chelsea
-73.96823883,40.75891876,New York,Turtle Bay
-73.98258209,40.7648201,New York,Clinton
0,0,,
0,0,,
-73.98816681,40.7747879,New York,Lincoln Square
-73.95226288,40.81903839,New York,Hamilton Heights
-73.98886108,40.74848938,New York,Chelsea
-74.0045166,40.74712753,New York,Chelsea
-73.87284088,40.77415848,Flushing,
-73.96035767,40.76983643,New York,Upper East Side
-73.97627258,40.7518425,New York,Midtown Center
-73.98523712,40.75756073,New York,Theater District-Times Square
-74.00455475,40.72395706,New York,Soho
-73.98103333,40.73749542,New York,Gramercy Park
-74.01112366,40.70291138,New York,Financial District
-73.96516418,40.75537491,New York,Turtle Bay
-73.95174408,40.76978302,New York,Upper East Side
-73.96204376,40.80545807,New York,Morningside Heights
-73.99473572,40.74013519,New York,Flatiron District
-73.9545517,40.76416779,New York,Upper East Side
-73.98258209,40.73562241,New York,Gramercy Park
