dropoff_longitude,dropoff_latitude,DOCensus_Tract
-73.94907379,40.78837967,16600
-73.97674561,40.7522316,9200
-74.00422668,40.72189713,4700
-73.98324585,40.76763916,13900
-73.86198425,40.76854324,33100
-73.96416473,40.76548767,12000
-73.99084473,40.73497772,5200
-73.9679184,40.75559616,9800
-73.94003296,40.57934952,62000
-74.00357819,40.74578857,8900
-73.95497131,40.78092575,14802
-74.00807953,40.73821259,7900
-73.98170471,40.7580719,9600
-74.00960541,40.70207214,900
-73.97028351,40.75775909,10000
-73.99591064,40.72037888,4100
-73.99092865,40.71847534,1800
-73.95776367,40.78237152,15002
-73.97216797,40.75074768,8800
-73.99556732,40.76916122,13500
-73.94907379,40.78492355,15601
-73.99111938,40.73685074,5200
-73.73680878,40.75170135,152901
-73.98513794,40.74981308,8400
-74.00912476,40.74737549,9900
-73.98064423,40.74224472,6600
-73.96640015,40.76176834,11000
-73.9153595,40.7675972,6502
-73.95188904,40.77349854,13800
-73.98977661,40.77268219,15100
-73.98309326,40.76589966,13700
-73.94368744,40.81949997,23000
-74.00245667,40.75027084,9900
-74.00227356,40.7477684,9300
-73.9930191,40.7604599,12100
-73.99054718,40.7140007,600
-74.00590515,40.70874405,1502
-73.99795532,40.71823883,4100
-73.93924713,40.82505035,23400
-73.97136688,40.78622437,17300
-74.0042038,40.73474884,7300
-73.96603394,40.76213455,11000
-74.00660706,40.74422073,8300
-73.97312927,40.75535965,9200
-73.98190308,40.76959991,14500
-73.96323395,40.76899338,12000
-74.00540924,40.72846222,3700
-73.99089813,40.73167801,6100
-73.95591736,40.77974701,14802
-73.99819946,40.71379089,2900
-73.86461639,40.77019882,33100
-73.9837265,40.76501846,13700
-73.98151398,40.77190018,14900
-74.01322937,40.70999908,1300
-73.9927063,40.7596817,12100
-73.99323273,40.74776459,9500
-73.9708252,40.76173019,11202
-74.00948334,40.72865677,3700
-73.98565674,40.75533676,11300
-73.98957825,40.77157974,14700
-73.99041748,40.74834442,10100
-73.90878296,40.70056152,54900
-73.97828674,40.7452507,7000
-73.944664,40.79723358,18200
-73.977005,40.7492485,8000
-73.9853363,40.75933075,12500
-73.97712708,40.73878098,6200
-74.01023865,40.7202301,3900
-73.94212341,40.74891663,1900
-73.97215271,40.76325226,11202
-74.04283905,40.71992874,7000
-73.9854126,40.73558044,4800
-73.96424866,40.7544899,8603
-73.97429657,40.75817871,10200
-73.98739624,40.73815155,5000
-73.94397736,40.79539108,17200
-73.94736481,40.79434204,17401
-73.99462891,40.76079941,12900
-73.99740601,40.73789597,8100
-73.98568726,40.73843384,6800
-73.98405457,40.74382019,7400
-73.98897552,40.75800323,11900
-73.96664429,40.78900146,17700
-73.97509766,40.76535797,14300
-73.98895264,40.71815872,1800
-73.97145081,40.75048065,8800
-73.95182037,40.76938248,13200
-73.99465942,40.74382401,9100
-74.00791168,40.74695969,9900
-73.97126007,40.75790405,10000
-73.98090363,40.74699783,7200
-73.92299652,40.76406479,6100
-73.9903183,40.72901535,4200
-73.99121857,40.74228668,5800
-73.96059418,40.81570435,21100
-74.00776672,40.74688721,9900
-73.97486877,40.79029465,17500
-73.94799042,40.66694641,33300
-73.98639679,40.76737976,13900
-73.94730377,40.77054977,13600
-73.86476135,40.77035141,33100
-73.99059296,40.72449875,3602
-73.99599457,40.75016785,10300
-73.7763443,40.64548111,71600
-74.01460266,40.70460892,1300
-73.98285675,40.76013947,12500
-73.97689056,40.76457596,11201
-73.95080566,40.77483368,13600
-73.98638153,40.72210693,3001
