STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
2545,-73.96381,40.81213,New York,Morningside Heights
2546,-73.96291,40.75854,New York,Turtle Bay
2547,-73.97146,40.74389,New York,Tudor City
2548,-73.97659,40.76445,New York,Midtown Center
2549,-73.99562,40.73329,New York,Greenwich Village
2550,-73.99122,40.74986,New York,Chelsea
2551,-73.97043,40.78395,New York,Upper West Side
2552,-74.00767,40.74063,New York,Meatpacking District
2553,-73.9924,40.73976,New York,Flatiron District
2554,-73.97177,40.75691,New York,Midtown Center
2555,-73.98652,40.73051,New York,East Village
2556,-73.99766,40.72424,New York,Soho
2557,-73.86281,40.76935,Flushing,
2558,-73.97212,40.76259,New York,Midtown Center
2559,-73.98253,40.72746,New York,East Village
2560,-73.98989,40.7515,New York,Garment District
2561,-73.97973,40.76626,New York,Clinton
2562,-73.99004,40.73473,New York,Gramercy Park
2563,-74.01421,40.71394,New York,Battery Park City
2564,-73.96638,40.76204,New York,Upper East Side
2565,-73.95276,40.77216,New York,Upper East Side
2566,-73.9826,40.74248,New York,Kips Bay
2567,-73.99429,40.74034,New York,Flatiron District
2568,-73.9882,40.75128,New York,Garment District
2569,-73.97769,40.77897,New York,Upper West Side
2570,-73.99271,40.73708,New York,Flatiron District
2571,-74.00806,40.73973,New York,West Village
2572,-73.99921,40.72655,New York,Soho
2573,-73.97838,40.73704,New York,Kips Bay
2574,-74.00736,40.73292,New York,West Village
2575,-73.98437,40.76476,New York,Clinton
2576,-73.97234,40.76498,New York,Upper East Side
2577,-73.9568,40.78116,New York,Upper East Side
2578,-73.98521,40.74684,New York,Midtown South Central
2579,-73.9622,40.77372,New York,Upper East Side
2580,-73.97831,40.61678,Brooklyn,Mapleton
2581,-73.98472,40.76841,New York,Clinton
2582,-73.97459,40.75567,New York,Midtown Center
2583,-73.99668,40.74265,New York,Chelsea
2584,-73.91754,40.77023,Astoria,Astoria
2585,-73.98211,40.72796,New York,East Village
2586,-73.987,40.73,New York,East Village
2587,-73.99135,40.72385,New York,East Village
2588,-73.95284,40.78594,New York,Upper East Side
2589,-73.97795,40.75929,New York,Midtown Center
2590,-73.98683,40.76278,New York,Clinton
2591,-73.98991,40.77244,New York,Lincoln Square
2592,-73.96139,40.76862,New York,Upper East Side
2593,-73.99934,40.73384,New York,Greenwich Village
2594,-73.96008,40.77115,New York,Upper East Side
2595,-73.92771,40.7631,Astoria,Astoria
2596,-73.9681,40.75524,New York,Turtle Bay
2597,-73.99134,40.75545,New York,Garment District
2598,-73.98387,40.76703,New York,Clinton
2599,-73.97637,40.78614,New York,Upper West Side
2600,-73.99511,40.73979,New York,Chelsea
2601,-73.98712,40.76848,New York,Clinton
2602,-73.98918,40.773,New York,Lincoln Square
2603,-74.007,40.75116,New York,Chelsea
2604,-73.98729,40.76599,New York,Clinton
2605,-73.95589,40.71751,Brooklyn,Greenpoint
2606,-73.99486,40.7501,New York,Chelsea
2607,-73.97846,40.783,New York,Upper West Side
2608,-73.99667,40.73176,New York,Greenwich Village
2609,-74.01194,40.7043,New York,Financial District
2610,-73.99012,40.74828,New York,Chelsea
2611,-74.01605,40.71122,New York,Battery Park City
2612,0,0,,
2613,-74.01033,40.70326,New York,Financial District
2614,-73.96491,40.76967,New York,Upper East Side
2615,-73.93645,40.79884,New York,East Harlem
2616,-73.99357,40.71306,New York,Two Bridges
2617,-73.95876,40.76845,New York,Upper East Side
2618,-73.98135,40.74396,New York,Kips Bay
2619,-73.96269,40.79444,New York,Upper West Side
2620,-73.99554,40.72495,New York,Soho
2621,-73.95878,40.76844,New York,Upper East Side
2622,-73.99323,40.72198,New York,Lower East Side
2623,-73.78594,40.6477,Jamaica,
2624,-73.99239,40.75917,New York,Clinton
2625,-73.98487,40.76201,New York,Theater District-Times Square
2626,-73.99259,40.7468,New York,Chelsea
2627,0,0,,
2628,-73.95076,40.77741,New York,Yorkville
2629,-73.97974,40.77131,New York,Lincoln Square
2630,-73.963,40.79413,New York,Upper West Side
2631,-73.98438,40.76041,New York,Theater District-Times Square
2632,-73.94984,40.78453,New York,Upper East Side
2633,-73.99407,40.75171,New York,Chelsea
2634,-73.96988,40.76295,New York,Upper East Side
2635,-73.95413,40.78707,New York,Upper East Side
2636,-74.00863,40.71985,New York,Tribeca
2637,-73.9501,40.78018,New York,Yorkville
2638,-73.99597,40.74406,New York,Chelsea
2639,-73.95406,40.76625,New York,Upper East Side
2640,-74.00522,40.72043,New York,Tribeca
2641,-73.97557,40.68333,Brooklyn,Prospect Heights
2642,-73.95167,40.76973,New York,Upper East Side
2643,-73.96229,40.75895,New York,Sutton Place
2644,-73.95003,40.77127,New York,Yorkville
2645,-73.99255,40.74834,New York,Chelsea
2646,-74.00578,40.75108,New York,Chelsea
2647,-73.98069,40.73795,New York,Kips Bay
2648,-73.96362,40.711,Brooklyn,Williamsburg
2649,-73.97143,40.74804,New York,Murray Hill
2650,0,0,,
2651,-73.96265,40.71001,Brooklyn,Williamsburg
2652,-73.95273,40.77237,New York,Yorkville
2653,-73.98302,40.73164,New York,Gramercy Park
2654,0,0,,
2655,-73.947,40.74517,Long Island City,Sunnyside
2656,-73.98132,40.78086,New York,Upper West Side
2657,0,0,,
2658,-73.97034,40.76432,New York,Upper East Side
2659,-73.97916,40.7767,New York,Lincoln Square
2660,-73.94444,40.80943,New York,Harlem
2661,0,0,,
2662,-73.98835,40.72723,New York,East Village
2663,-73.98626,40.75653,New York,Theater District-Times Square
2664,-73.99763,40.72172,New York,Soho
2665,-73.96496,40.76395,New York,Upper East Side
2666,-73.99777,40.74022,New York,Chelsea
2667,-73.98346,40.75566,New York,Theater District-Times Square
2668,-73.99823,40.72883,New York,Greenwich Village
2669,-73.97333,40.78487,New York,Upper West Side
2670,-73.99785,40.7258,New York,Soho
2671,-73.96285,40.71219,Brooklyn,Williamsburg
2672,0,0,,
2673,-73.96106,40.79675,New York,Upper West Side
2674,-73.9946,40.76098,New York,Clinton
2675,-73.97937,40.75588,New York,Midtown Center
2676,-73.98359,40.74232,New York,Kips Bay
2677,-73.96249,40.77304,New York,Upper East Side
2678,-73.98314,40.76059,New York,Theater District-Times Square
2679,-73.99176,40.75458,New York,Garment District
2680,-73.96077,40.75911,New York,Upper East Side
2681,-73.94562,40.77379,New York,Yorkville
2682,-73.98065,40.74274,New York,Kips Bay
2683,-74.01038,40.71523,New York,Tribeca
2684,-73.98343,40.74139,New York,Kips Bay
2685,-73.95878,40.81536,New York,Morningside Heights
2686,-73.98459,40.7642,New York,Clinton
2687,-73.9972,40.74708,New York,Chelsea
2688,-73.9728,40.79332,New York,Upper West Side
2689,-73.97617,40.78608,New York,Upper West Side
2690,-73.98358,40.7385,New York,Gramercy Park
2691,-73.86324,40.76903,Flushing,
2692,-73.95848,40.80078,New York,Morningside Heights
2693,-73.98173,40.76885,New York,Lincoln Square
2694,-73.9842,40.72717,New York,East Village
2695,-73.99294,40.72312,New York,Lower East Side
2696,-73.99862,40.73402,New York,Greenwich Village
2697,-73.9771,40.75734,New York,Midtown Center
2698,-73.97186,40.75691,New York,Midtown Center
2699,-74.00262,40.74995,New York,Chelsea
2700,-73.99926,40.71891,New York,Chinatown
2701,-73.98138,40.7247,New York,East Village
2702,-73.98745,40.75583,New York,Theater District-Times Square
2703,-73.95216,40.76651,New York,Upper East Side
2704,-73.98673,40.76017,New York,Theater District-Times Square
2705,-73.97379,40.77932,New York,Upper West Side
2706,-73.98341,40.73851,New York,Gramercy Park
2707,-74.00037,40.73228,New York,Greenwich Village
2708,-73.96228,40.77923,New York,Central Park
2709,-73.98776,40.7383,New York,Flatiron District
2710,-73.96039,40.77846,New York,Upper East Side
2711,-73.98601,40.75778,New York,Theater District-Times Square
2712,-73.99238,40.71522,New York,Chinatown
2713,-73.96784,40.80296,New York,Upper West Side
2714,-73.97654,40.76352,New York,Midtown Center
2715,-74.00554,40.712,New York,Financial District
2716,-73.99583,40.75391,New York,Garment District
2717,-73.97619,40.75438,New York,Midtown Center
2718,-73.99827,40.74035,New York,Chelsea
2719,-73.99311,40.74953,New York,Chelsea
2720,-73.98427,40.77395,New York,Lincoln Square
2721,-73.86273,40.76898,Flushing,
2722,-73.97125,40.75136,New York,Turtle Bay
2723,0,0,,
2724,-73.97656,40.79076,New York,Upper West Side
2725,-73.98788,40.72093,New York,Lower East Side
2726,-74.00033,40.7301,New York,Greenwich Village
2727,-73.99167,40.73883,New York,Flatiron District
2728,-73.98548,40.74702,New York,Midtown South Central
2729,-73.98444,40.72865,New York,East Village
2730,-73.98131,40.74144,New York,Kips Bay
2731,-73.99021,40.75142,New York,Garment District
2732,-73.99155,40.75982,New York,Clinton
2733,-74.00636,40.73308,New York,West Village
2734,-73.99621,40.75349,New York,Garment District
2735,-73.984,40.72541,New York,East Village
2736,-73.9891,40.7345,New York,Gramercy Park
2737,-73.98855,40.75397,New York,Garment District
2738,-73.97839,40.76645,New York,Clinton
2739,-73.94361,40.78863,New York,East Harlem
2740,-74.00869,40.71429,New York,Tribeca
2741,-73.87438,40.77409,Flushing,
2742,-73.97631,40.76537,New York,Midtown Center
2743,-74.00123,40.7278,New York,Greenwich Village
2744,-73.98261,40.73541,New York,Gramercy Park
2745,-73.97489,40.75167,New York,Midtown Center
2746,-73.98831,40.74821,New York,Koreatown
2747,-73.99145,40.74492,New York,Chelsea
2748,-73.98038,40.7644,New York,Clinton
2749,-73.99121,40.75939,New York,Clinton
2750,-73.99842,40.75425,New York,Chelsea
2751,-73.95167,40.72532,Brooklyn,Greenpoint
2752,-73.99366,40.72109,New York,Lower East Side
2753,-74.00414,40.75182,New York,Chelsea
2754,-73.97071,40.78863,New York,Upper West Side
2755,-74.01213,40.70266,New York,Financial District
2756,-73.98192,40.77661,New York,Lincoln Square
2757,-73.99155,40.75484,New York,Garment District
2758,-73.99675,40.76317,New York,Clinton
2759,-73.99858,40.72449,New York,Soho
2760,-73.99871,40.76121,New York,Clinton
2761,-73.98912,40.7582,New York,Clinton
2762,-73.77676,40.64532,Jamaica,
2763,-73.99173,40.74449,New York,Chelsea
2764,-73.97877,40.76227,New York,Clinton
2765,-73.96535,40.77196,New York,Upper East Side
2766,-73.98954,40.75562,New York,Theater District-Times Square
2767,-73.97725,40.75824,New York,Midtown Center
2768,-73.95289,40.77632,New York,Yorkville
2769,-73.95615,40.81454,New York,Harlem
2770,-73.99878,40.74472,New York,Chelsea
2771,-73.99225,40.73802,New York,Flatiron District
2772,-73.98485,40.75905,New York,Theater District-Times Square
2773,-73.97695,40.73912,New York,Kips Bay
2774,-73.97191,40.79196,New York,Upper West Side
2775,-73.99189,40.72217,New York,Lower East Side
2776,-73.96189,40.77624,New York,Upper East Side
2777,-73.95687,40.76636,New York,Upper East Side
2778,-73.98092,40.78264,New York,Upper West Side
2779,-73.99244,40.75384,New York,Garment District
2780,-73.97939,40.76156,New York,Theater District-Times Square
2781,-73.96109,40.76913,New York,Upper East Side
2782,-73.95063,40.78642,New York,East Harlem
2783,-73.98088,40.76394,New York,Clinton
2784,-73.97049,40.75868,New York,Midtown Center
2785,-74.01089,40.71117,New York,Financial District
2786,0,0,,
2787,-73.97948,40.73565,New York,Gramercy Park
2788,-73.9904,40.75643,New York,Garment District
2789,-73.98238,40.74272,New York,Kips Bay
2790,-73.9808,40.76638,New York,Clinton
2791,-73.97478,40.7574,New York,Midtown Center
2792,-73.9966,40.75301,New York,Chelsea
2793,-73.98357,40.72196,New York,East Village
2794,-73.99342,40.74672,New York,Chelsea
2795,-73.97979,40.74337,New York,Kips Bay
2796,-73.98305,40.76454,New York,Clinton
2797,-73.93664,40.79869,New York,East Harlem
2798,-73.98575,40.75223,New York,Midtown South Central
2799,-73.96967,40.76029,New York,Midtown Center
2800,-73.99795,40.74097,New York,Chelsea
2801,-73.86275,40.76914,Flushing,
2802,-73.95406,40.77873,New York,Upper East Side
2803,-73.98195,40.74063,New York,Kips Bay
2804,-73.97247,40.7458,New York,Tudor City
2805,-73.98525,40.76691,New York,Clinton
2806,-73.97872,40.78583,New York,Upper West Side
2807,-73.99479,40.7507,New York,Chelsea
2808,-73.97918,40.76366,New York,Clinton
2809,-73.99404,40.75125,New York,Chelsea
2810,-73.97034,40.75245,New York,Turtle Bay
2811,-74.00423,40.74759,New York,Chelsea
2812,-73.9821,40.76822,New York,Clinton
2813,-74.00356,40.73247,New York,West Village
2814,-73.98575,40.76059,New York,Theater District-Times Square
2815,-73.9738,40.76066,New York,Midtown Center
2816,-73.98316,40.69655,Brooklyn,Downtown Brooklyn
2817,-73.98403,40.76536,New York,Clinton
2818,-73.94676,40.78427,New York,East Harlem
2819,-73.94436,40.79501,New York,East Harlem
2820,-73.99516,40.73978,New York,Chelsea
2821,-73.9756,40.76054,New York,Midtown Center
2822,-73.96201,40.77673,New York,Upper East Side
2823,-73.97332,40.78284,New York,Upper West Side
2824,-74.00585,40.74511,New York,Chelsea
2825,-73.9638,40.75702,New York,Sutton Place
2826,-74.00606,40.71188,New York,Financial District
2827,-73.95407,40.77041,New York,Upper East Side
2828,-73.79086,40.71889,Jamaica,Jamaica Estates
2829,-73.99701,40.7366,New York,Greenwich Village
2830,-74.00687,40.71638,New York,Tribeca
2831,-73.98975,40.75528,New York,Garment District
2832,-73.98613,40.72644,New York,East Village
2833,-73.98553,40.74181,New York,Midtown South Central
2834,-73.98166,40.76607,New York,Clinton
2835,-73.98857,40.73718,New York,Flatiron District
2836,-73.977,40.76425,New York,Midtown Center
2837,-74.00416,40.74219,New York,Chelsea
2838,-73.97352,40.75126,New York,Turtle Bay
2839,-73.98601,40.75265,New York,Garment District
2840,-73.97542,40.76009,New York,Midtown Center
2841,-73.86272,40.769,Flushing,
2842,-73.95758,40.77019,New York,Upper East Side
2843,-73.98155,40.78287,New York,Upper West Side
2844,-73.87376,40.77392,Flushing,
2845,-73.97053,40.74988,New York,Turtle Bay
2846,-73.97826,40.78315,New York,Upper West Side
2847,-74.00642,40.70389,New York,Financial District
2848,-74.00545,40.7411,New York,Chelsea
2849,-73.97548,40.75579,New York,Midtown Center
2850,-73.95609,40.76742,New York,Upper East Side
2851,-73.96003,40.77315,New York,Upper East Side
2852,-73.97052,40.75638,New York,Midtown Center
2853,-73.9954,40.7393,New York,Chelsea
2854,-73.98769,40.76546,New York,Clinton
2855,-73.96031,40.76606,New York,Upper East Side
2856,-73.96214,40.77913,New York,Central Park
2857,-74.00902,40.70411,New York,Financial District
2858,-73.98955,40.72589,New York,East Village
2859,-73.98118,40.75041,New York,Midtown South Central
2860,-73.99786,40.72059,New York,Chinatown
2861,-73.98468,40.76937,New York,Lincoln Square
2862,-73.98209,40.77831,New York,Lincoln Square
2863,-73.98873,40.73708,New York,Flatiron District
2864,-73.97074,40.76086,New York,Midtown Center
2865,-73.871,40.77381,Flushing,East Elmhurst
2866,-73.98194,40.74605,New York,Kips Bay
2867,-73.96165,40.71834,Brooklyn,Greenpoint
2868,-73.97977,40.74627,New York,Kips Bay
2869,-73.95198,40.82457,New York,Hamilton Heights
2870,-73.98198,40.72824,New York,East Village
2871,-73.95441,40.78408,New York,Upper East Side
2872,-73.97136,40.78616,New York,Upper West Side
2873,-73.97176,40.76478,New York,Upper East Side
2874,0,0,,
2875,-73.9562,40.76745,New York,Upper East Side
2876,0,0,,
2877,-73.98936,40.72615,New York,East Village
2878,-73.98529,40.75812,New York,Theater District-Times Square
2879,-73.98233,40.77514,New York,Lincoln Square
2880,0,0,,
2881,-73.98208,40.77743,New York,Lincoln Square
2882,-73.99634,40.72379,New York,Nolita
2883,-73.98564,40.73438,New York,Gramercy Park
2884,-73.97145,40.76088,New York,Midtown Center
2885,-74.00883,40.71993,New York,Tribeca
2886,-73.97078,40.75547,New York,Turtle Bay
2887,-73.98054,40.76563,New York,Clinton
2888,-73.98759,40.72253,New York,Lower East Side
2889,-73.99079,40.73411,New York,Greenwich Village
2890,-74.00059,40.72612,New York,Soho
2891,0,0,,
2892,-73.98538,40.76782,New York,Clinton
2893,-73.99825,40.74063,New York,Chelsea
2894,-74.00439,40.70747,New York,Financial District
2895,-74.00459,40.74226,New York,Chelsea
2896,-73.99817,40.73557,New York,Greenwich Village
2897,-73.96344,40.76192,New York,Upper East Side
2898,-73.97523,40.7458,New York,Murray Hill
2899,-73.99243,40.74276,New York,Midtown South Central
2900,-73.97151,40.76025,New York,Midtown Center
2901,-74.00002,40.74845,New York,Chelsea
2902,-73.9619,40.76372,New York,Upper East Side
2903,-73.9979,40.75654,New York,Hells Kitchen
2904,-73.97385,40.7514,New York,Turtle Bay
2905,-73.99095,40.75602,New York,Garment District
2906,-73.98202,40.76772,New York,Clinton
2907,-73.94499,40.77995,New York,Yorkville
2908,-73.95753,40.76559,New York,Upper East Side
2909,-73.97758,40.764,New York,Clinton
2910,-73.97683,40.74343,New York,Kips Bay
2911,-73.97856,40.75408,New York,Midtown Center
2912,-74.00912,40.70412,New York,Financial District
2913,-74.00698,40.71189,New York,Financial District
2914,-73.99916,40.74462,New York,Chelsea
2915,-73.78213,40.64468,Jamaica,
2916,-74.01418,40.70777,New York,Financial District
2917,-73.98332,40.76811,New York,Clinton
2918,-73.99758,40.73685,New York,West Village
2919,-73.94602,40.77731,New York,Yorkville
2920,-73.95441,40.78569,New York,Upper East Side
2921,0,0,,
2922,-73.97455,40.76293,New York,Midtown Center
2923,-74.00167,40.75559,New York,Chelsea
2924,-73.94937,40.78491,New York,Yorkville
2925,-73.98553,40.76703,New York,Clinton
2926,-74.00406,40.74782,New York,Chelsea
2927,-73.97578,40.75189,New York,Midtown Center
2928,-73.99463,40.75029,New York,Chelsea
2929,-73.97285,40.76478,New York,Central Park
2930,-73.98009,40.75361,New York,Midtown Center
2931,-73.9831,40.74164,New York,Kips Bay
2932,-73.96606,40.79484,New York,Upper West Side
2933,-73.98986,40.73411,New York,Greenwich Village
2934,-73.96005,40.76662,New York,Upper East Side
2935,-73.98319,40.75043,New York,Midtown South Central
2936,-73.98188,40.76893,New York,Lincoln Square
2937,-73.98983,40.75635,New York,Theater District-Times Square
2938,-73.96756,40.7679,New York,Upper East Side
2939,-73.97332,40.76448,New York,Central Park
2940,-73.98842,40.74845,New York,Koreatown
2941,-73.98089,40.7471,New York,Murray Hill
2942,-73.98714,40.73918,New York,Gramercy Park
2943,-73.98577,40.72704,New York,East Village
2944,-73.97821,40.75312,New York,Midtown Center
2945,-73.95288,40.78314,New York,Upper East Side
2946,-73.9741,40.76272,New York,Midtown Center
2947,-73.96396,40.75729,New York,Turtle Bay
2948,-73.98831,40.74573,New York,Midtown South Central
2949,-73.95379,40.779,New York,Yorkville
2950,-74.00052,40.73742,New York,West Village
2951,-73.9925,40.72072,New York,Lower East Side
2952,-73.99457,40.74443,New York,Chelsea
2953,-73.98366,40.75632,New York,Theater District-Times Square
2954,-73.98823,40.72024,New York,Lower East Side
2955,-73.96746,40.76911,New York,Upper East Side
2956,-73.98861,40.71807,New York,Lower East Side
2957,-73.99216,40.75922,New York,Clinton
2958,-74.00295,40.68465,Brooklyn,Columbia Street Waterfront District
2959,-73.98478,40.74459,New York,Midtown South Central
2960,-73.87454,40.77411,Flushing,
2961,-73.9808,40.76537,New York,Clinton
2962,-73.9794,40.76089,New York,Midtown Center
2963,-73.95062,40.77144,New York,Upper East Side
2964,0,0,,
2965,-73.98722,40.77627,New York,Lincoln Square
2966,-73.98645,40.75617,New York,Theater District-Times Square
2967,-73.99633,40.73734,New York,Greenwich Village
2968,-73.95915,40.77171,New York,Upper East Side
2969,-73.99398,40.73282,New York,Greenwich Village
2970,-73.982,40.74629,New York,Midtown South Central
2971,-73.96518,40.75594,New York,Turtle Bay
2972,-73.98998,40.74652,New York,Midtown South Central
2973,-73.98576,40.74646,New York,Midtown South Central
2974,-73.99443,40.75056,New York,Chelsea
2975,-73.97464,40.76191,New York,Midtown Center
2976,-73.98957,40.7368,New York,Flatiron District
2977,-73.98026,40.78369,New York,Upper West Side
2978,-73.97796,40.71971,New York,East Village
2979,-73.91902,40.74302,Sunnyside,Sunnyside
2980,-74.00828,40.71677,New York,Tribeca
2981,-73.97821,40.74548,New York,Kips Bay
2982,-73.99016,40.74019,New York,Flatiron District
2983,-73.95372,40.77512,New York,Yorkville
2984,-73.99075,40.75581,New York,Garment District
2985,-74.00153,40.73074,New York,Greenwich Village
2986,-73.9852,40.7539,New York,Theater District-Times Square
2987,-73.87091,40.77379,Flushing,East Elmhurst
2988,-74.00295,40.73075,New York,West Village
2989,-73.98847,40.73729,New York,Flatiron District
2990,-73.96561,40.76191,New York,Upper East Side
2991,-73.96578,40.7584,New York,Turtle Bay
2992,-73.97818,40.74181,New York,Kips Bay
2993,-73.90001,40.74598,Woodside,Woodside
2994,-73.95546,40.77948,New York,Upper East Side
2995,-73.98617,40.76714,New York,Clinton
2996,-74.0042,40.70749,New York,Financial District
2997,-73.99725,40.71443,New York,Chinatown
2998,-74.0074,40.72614,New York,Soho
2999,-73.96649,40.76975,New York,Upper East Side
3000,-73.99464,40.74042,New York,Chelsea
3001,-73.97697,40.75897,New York,Midtown Center
3002,-73.9486,40.83577,New York,Washington Heights South
3003,-73.87284,40.77396,Flushing,
3004,-73.96047,40.77224,New York,Upper East Side
3005,-73.98887,40.72195,New York,Lower East Side
3006,-73.9655,40.75915,New York,Turtle Bay
3007,-73.98322,40.7694,New York,Lincoln Square
3008,-74.00804,40.72345,New York,Soho
3009,-73.96202,40.80539,New York,Morningside Heights
3010,-73.95045,40.78643,New York,East Harlem
3011,-73.96278,40.75856,New York,Turtle Bay
3012,-73.98214,40.77328,New York,Lincoln Square
3013,-73.98252,40.76126,New York,Theater District-Times Square
3014,-74.00147,40.74686,New York,Chelsea
3015,-73.98855,40.749,New York,Chelsea
3016,-73.87456,40.77412,Flushing,
3017,-73.98717,40.75513,New York,Theater District-Times Square
3018,-73.98857,40.72271,New York,Lower East Side
3019,-73.98815,40.76161,New York,Clinton
3020,-73.99567,40.72347,New York,Nolita
3021,-73.99763,40.75576,New York,Hells Kitchen
3022,-73.97558,40.78925,New York,Upper West Side
3023,-73.99423,40.73139,New York,Greenwich Village
3024,-74.00213,40.75068,New York,Chelsea
3025,-73.95728,40.71843,Brooklyn,Greenpoint
3026,-73.98552,40.75303,New York,Garment District
3027,-73.97049,40.79656,New York,Upper West Side
3028,-73.96582,40.75867,New York,Turtle Bay
3029,-73.97904,40.77733,New York,Lincoln Square
3030,-73.95834,40.7723,New York,Upper East Side
3031,-73.98024,40.74281,New York,Kips Bay
3032,-73.96047,40.76154,New York,Upper East Side
3033,-73.98614,40.76245,New York,Clinton
3034,-73.9717,40.7819,New York,Upper West Side
3035,-73.98582,40.75287,New York,Garment District
3036,-73.98056,40.74851,New York,Midtown South Central
3037,-73.97797,40.75057,New York,Murray Hill
3038,-74.01435,40.70417,New York,Financial District
3039,-74.00561,40.75078,New York,Chelsea
3040,-73.98696,40.69597,Brooklyn,Downtown Brooklyn
3041,-73.97794,40.7487,New York,Murray Hill
3042,-73.98177,40.77914,New York,Upper West Side
3043,-73.97438,40.75158,New York,Midtown Center
3044,-73.98656,40.72196,New York,Lower East Side
3045,-73.9898,40.74139,New York,Flatiron District
3046,-74.00868,40.70693,New York,Financial District
3047,-73.9866,40.7371,New York,Gramercy Park
3048,0,0,,
3049,0,0,,
3050,-74.00105,40.73677,New York,West Village
3051,-73.97174,40.74967,New York,Turtle Bay
3052,-73.95857,40.78146,New York,Upper East Side
3053,-73.97519,40.75561,New York,Midtown Center
3054,-73.98796,40.71865,New York,Lower East Side
3055,-73.97837,40.76351,New York,Clinton
3056,-73.87107,40.77382,Flushing,East Elmhurst
3057,-73.97497,40.75774,New York,Midtown Center
3058,-73.98505,40.74806,New York,Koreatown
3059,-73.98644,40.74301,New York,Midtown South Central
3060,-73.98106,40.75991,New York,Theater District-Times Square
3061,-73.97526,40.78215,New York,Upper West Side
3062,-73.98978,40.76241,New York,Clinton
3063,-73.97432,40.75149,New York,Midtown Center
3064,-73.97971,40.78637,New York,Upper West Side
3065,-74.0011,40.75161,New York,Chelsea
3066,0,0,,
3067,-74.00955,40.72987,New York,West Village
3068,-73.95015,40.77161,New York,Yorkville
3069,-73.97936,40.7816,New York,Upper West Side
3070,-73.99976,40.74583,New York,Chelsea
3071,-73.96991,40.76572,New York,Upper East Side
3072,-73.9692,40.7659,New York,Upper East Side
3073,-73.98201,40.77546,New York,Lincoln Square
3074,-73.97249,40.76518,New York,Upper East Side
3075,-73.98821,40.72317,New York,East Village
3076,-73.98224,40.7729,New York,Lincoln Square
3077,-73.98284,40.76192,New York,Theater District-Times Square
3078,-73.97683,40.78814,New York,Upper West Side
3079,-73.96259,40.76055,New York,Upper East Side
3080,-73.99783,40.71207,New York,Two Bridges
3081,-73.97107,40.75553,New York,Midtown Center
3082,-73.8639,40.77005,Flushing,
3083,-73.96219,40.77067,New York,Upper East Side
3084,-73.98332,40.757,New York,Theater District-Times Square
3085,-73.97533,40.76389,New York,Midtown Center
3086,-73.99119,40.75033,New York,Chelsea
3087,-73.96817,40.7655,New York,Upper East Side
3088,-73.98982,40.75458,New York,Garment District
3089,-73.99595,40.76437,New York,Clinton
3090,-73.99134,40.75023,New York,Chelsea
3091,-73.99294,40.7528,New York,Garment District
3092,-73.94814,40.7739,New York,Yorkville
3093,-73.99625,40.74348,New York,Chelsea
3094,-73.87287,40.77408,Flushing,
3095,-73.9823,40.77206,New York,Lincoln Square
3096,-73.97295,40.74772,New York,Murray Hill
3097,-74.00101,40.71869,New York,Chinatown
3098,-73.97349,40.75276,New York,Midtown Center
3099,-74.00681,40.73081,New York,West Village
3100,-73.94678,40.77325,New York,Yorkville
3101,-73.99659,40.73195,New York,Greenwich Village
3102,-73.97006,40.78936,New York,Upper West Side
3103,-73.9869,40.75099,New York,Garment District
3104,-73.89042,40.74684,Jackson Heights,Elmhurst
3105,-73.99211,40.75387,New York,Garment District
3106,-73.98166,40.75597,New York,Midtown Center
3107,-73.98235,40.76682,New York,Clinton
3108,-73.95771,40.77616,New York,Upper East Side
3109,-73.98995,40.72915,New York,East Village
3110,-73.90302,40.72615,Maspeth,Maspeth
3111,-73.99089,40.73391,New York,Greenwich Village
3112,-73.98776,40.72858,New York,East Village
3113,-73.97551,40.78678,New York,Upper West Side
3114,-74.00091,40.72579,New York,Soho
3115,-74.00747,40.72629,New York,Soho
3116,-73.87991,40.77032,Flushing,Jackson Heights
3117,-73.98229,40.75163,New York,Midtown South Central
3118,-73.95462,40.77412,New York,Yorkville
3119,-73.97024,40.76544,New York,Upper East Side
3120,-73.97853,40.76678,New York,Clinton
3121,-73.9733,40.75817,New York,Midtown Center
3122,-73.98529,40.73586,New York,Gramercy Park
3123,-73.99327,40.73337,New York,Greenwich Village
3124,-73.78206,40.6447,Jamaica,
3125,-73.98663,40.75897,New York,Theater District-Times Square
3126,-73.98066,40.75608,New York,Midtown Center
3127,-74.01608,40.71001,New York,Battery Park City
3128,-73.9532,40.77609,New York,Yorkville
3129,-73.98539,40.77749,New York,Lincoln Square
3130,-73.95128,40.7743,New York,Yorkville
3131,-73.991,40.76575,New York,Clinton
3132,-73.99113,40.75649,New York,Garment District
3133,-74.00848,40.73498,New York,West Village
3134,-73.9851,40.7477,New York,Midtown South Central
3135,0,0,,
3136,-73.96528,40.792,New York,Upper West Side
3137,0,0,,
3138,-73.98248,40.78229,New York,Upper West Side
3139,-73.99898,40.7304,New York,Greenwich Village
3140,-73.98261,40.75418,New York,Midtown South Central
3141,-73.99121,40.71751,New York,Lower East Side
3142,-73.96685,40.75342,New York,Turtle Bay
3143,-73.99356,40.72129,New York,Lower East Side
3144,-73.9756,40.75209,New York,Midtown Center
3145,-73.98199,40.77855,New York,Lincoln Square
3146,-73.98914,40.73684,New York,Flatiron District
3147,-73.96828,40.75558,New York,Turtle Bay
