STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
80,-73.96402,40.75709,New York,Turtle Bay
81,-73.9964,40.74285,New York,Chelsea
82,-73.99739,40.72084,New York,Little Italy
83,-74.00851,40.7202,New York,Tribeca
84,-73.99327,40.75712,New York,Garment District
85,-73.95374,40.78789,New York,East Harlem
86,-74.00598,40.73521,New York,West Village
87,-73.95991,40.77947,New York,Upper East Side
88,-73.9804,40.74847,New York,Midtown South Central
89,-73.97948,40.75513,New York,Midtown Center
90,-73.99139,40.75004,New York,Chelsea
91,-73.96609,40.76458,New York,Upper East Side
92,-73.95711,40.77733,New York,Upper East Side
93,-73.99709,40.75691,New York,Hells Kitchen
94,-74.00009,40.73387,New York,West Village
95,-73.95627,40.77994,New York,Upper East Side
96,-73.97197,40.79438,New York,Upper West Side
97,-73.99311,40.72717,New York,Noho
98,-73.99004,40.76198,New York,Clinton
99,-73.98219,40.76523,New York,Clinton
100,0,0,,
101,-74.00196,40.74595,New York,Chelsea
102,-73.98287,40.74199,New York,Kips Bay
103,-73.97081,40.7485,New York,Turtle Bay
104,-73.9852,40.73583,New York,Gramercy Park
105,-73.96847,40.76191,New York,Midtown Center
106,-73.99469,40.75044,New York,Chelsea
107,-74.01184,40.70264,New York,Financial District
108,-73.99799,40.76336,New York,Clinton
109,-73.97739,40.78433,New York,Upper West Side
110,-73.98131,40.78115,New York,Upper West Side
111,-73.96814,40.69323,Brooklyn,Clinton Hill
112,-73.98575,40.74385,New York,Midtown South Central
113,-73.8273,40.7161,Flushing,Kew Gardens
114,-73.98562,40.76114,New York,Theater District-Times Square
115,-73.9865,40.74016,New York,Flatiron District
116,-73.95311,40.7676,New York,Upper East Side
117,-73.98094,40.7654,New York,Clinton
118,-73.98288,40.76496,New York,Clinton
119,-73.96583,40.77124,New York,Upper East Side
120,-73.9991,40.72973,New York,Greenwich Village
121,-73.97124,40.7607,New York,Midtown Center
122,-73.7827,40.64869,Jamaica,
123,-73.95327,40.76756,New York,Upper East Side
124,-73.96069,40.76963,New York,Upper East Side
125,-73.9425,40.77745,New York,Yorkville
126,-74.0075,40.743,New York,Chelsea
127,-73.99185,40.72649,New York,Noho
128,-74.00273,40.74805,New York,Chelsea
129,-73.96589,40.76793,New York,Upper East Side
130,-73.98707,40.76425,New York,Clinton
131,-73.99063,40.73691,New York,Flatiron District
132,-73.97116,40.76382,New York,Upper East Side
133,-73.97232,40.79665,New York,Upper West Side
134,-73.99347,40.76051,New York,Clinton
135,-73.96624,40.77063,New York,Upper East Side
136,-73.98883,40.72718,New York,East Village
137,-73.98697,40.75537,New York,Theater District-Times Square
138,-73.97342,40.76367,New York,Midtown Center
139,-73.98956,40.7336,New York,Greenwich Village
140,-73.95265,40.76852,New York,Upper East Side
141,-73.97327,40.75034,New York,Turtle Bay
142,-74.00208,40.71486,New York,Civic Center
143,-73.97324,40.75935,New York,Midtown Center
144,-73.98111,40.77912,New York,Upper West Side
145,-73.99877,40.73977,New York,Chelsea
146,-73.9843,40.75948,New York,Theater District-Times Square
147,-73.99929,40.72661,New York,Soho
148,-73.98725,40.76087,New York,Clinton
149,-73.98651,40.74729,New York,Koreatown
150,-73.92546,40.79097,New York,
151,0,0,,
152,-73.98756,40.73289,New York,Greenwich Village
153,-73.98595,40.76749,New York,Clinton
154,-73.98193,40.74336,New York,Kips Bay
155,-73.96303,40.79924,New York,Upper West Side
156,-73.96229,40.7791,New York,Central Park
157,-73.98673,40.74277,New York,Midtown South Central
