STT,dropoff_longitude,dropoff_latitude,DOcity,DOdistrict
82,-73.98753,40.7335,New York,Gramercy Park
83,-73.99125,40.75589,New York,Garment District
84,-73.97549,40.75397,New York,Midtown Center
85,-73.97179,40.78724,New York,Upper West Side
86,-73.97839,40.74552,New York,Kips Bay
87,-73.95879,40.77506,New York,Upper East Side
88,-73.97019,40.76295,New York,Midtown Center
89,-73.97438,40.75006,New York,Murray Hill
90,-73.97853,40.7618,New York,Midtown Center
91,-73.98752,40.757,New York,Theater District-Times Square
92,-73.96744,40.76895,New York,Upper East Side
93,-73.97806,40.76291,New York,Clinton
94,-73.98729,40.76449,New York,Clinton
95,-73.97878,40.79175,New York,Upper West Side
96,-73.96286,40.77582,New York,Upper East Side
97,-73.99544,40.75933,New York,Hells Kitchen
98,-73.9737,40.74823,New York,Murray Hill
99,-73.99556,40.75379,New York,Garment District
100,0,0,,
101,-73.98741,40.72239,New York,Lower East Side
102,-73.98688,40.72975,New York,East Village
103,-73.99171,40.74998,New York,Chelsea
104,-73.98193,40.76841,New York,Clinton
105,-74.00907,40.7139,New York,Tribeca
106,-73.97901,40.72499,New York,East Village
107,-73.99532,40.72176,New York,Nolita
108,-73.98984,40.75715,New York,Theater District-Times Square
109,-73.97607,40.74466,New York,Kips Bay
110,-73.96463,40.80199,New York,Upper West Side
111,-73.99855,40.71733,New York,Little Italy
112,-73.98674,40.74916,New York,Koreatown
113,-73.80587,40.65165,Jamaica,
114,-73.99241,40.73741,New York,Flatiron District
115,-73.97198,40.75359,New York,Turtle Bay
116,-73.86522,40.7707,Flushing,
117,-74.00314,40.74928,New York,Chelsea
118,-73.98719,40.75509,New York,Theater District-Times Square
119,-73.98579,40.75208,New York,Midtown South Central
120,-73.97678,40.75133,New York,Murray Hill
121,-73.96625,40.76476,New York,Upper East Side
122,-73.7827,40.64869,Jamaica,
123,-73.97907,40.76436,New York,Clinton
124,-73.94544,40.82821,New York,Harlem
125,-73.95243,40.78131,New York,Upper East Side
126,-73.99208,40.74421,New York,Chelsea
127,-74.00351,40.73314,New York,West Village
128,-73.98908,40.74792,New York,Koreatown
129,-73.9567,40.77659,New York,Upper East Side
130,-73.95403,40.77074,New York,Upper East Side
131,-73.98553,40.73522,New York,Gramercy Park
132,-73.95649,40.78131,New York,Upper East Side
133,-73.87098,40.7741,Flushing,East Elmhurst
