STT,dropoff_longitude,dropoff_latitude,DOcity,DOdistrict
1963,-73.98449,40.75514,New York,Theater District-Times Square
1964,-73.97705,40.75938,New York,Midtown Center
1965,-73.95957,40.77358,New York,Upper East Side
1966,-73.97343,40.79542,New York,Upper West Side
1967,-73.98023,40.74171,New York,Kips Bay
1968,-73.98621,40.74557,New York,Midtown South Central
1969,-73.87106,40.77408,Flushing,East Elmhurst
1970,-73.98857,40.76378,New York,Clinton
1971,-74.00036,40.73884,New York,Chelsea
1972,-73.98626,40.76223,New York,Clinton
1973,-73.98145,40.74696,New York,Midtown South Central
1974,-74.00534,40.74026,New York,West Village
1975,-73.95856,40.78328,New York,Upper East Side
1976,-73.97696,40.75077,New York,Murray Hill
1977,-73.99564,40.7638,New York,Clinton
1978,-73.99289,40.7315,New York,Greenwich Village
1979,-73.95144,40.77404,New York,Yorkville
1980,-73.97621,40.75203,New York,Midtown Center
1981,-73.95006,40.78424,New York,Yorkville
1982,-73.95806,40.76302,New York,Upper East Side
1983,-74.00676,40.73598,New York,West Village
1984,-73.88558,40.77316,Flushing,
1985,-73.98325,40.73851,New York,Gramercy Park
1986,-73.99008,40.719,New York,Lower East Side
1987,-73.96426,40.75641,New York,Sutton Place
1988,-73.8352,40.84669,Bronx,Middletown-Pelham Bay
1989,-73.98553,40.75034,New York,Koreatown
1990,-73.95284,40.7721,New York,Upper East Side
1991,-73.96992,40.75315,New York,Turtle Bay
1992,-73.94482,40.77836,New York,Yorkville
1993,-73.95424,40.78477,New York,Upper East Side
1994,-73.91604,40.74308,Woodside,Sunnyside
1995,-73.98105,40.74618,New York,Kips Bay
1996,-73.96334,40.75803,New York,Turtle Bay
1997,-73.99243,40.74642,New York,Chelsea
1998,-73.93977,40.85268,New York,Washington Heights North
1999,-73.97487,40.7178,New York,Lower East Side
2000,-73.98834,40.74976,New York,Chelsea
2001,-74.01144,40.70217,New York,Financial District
2002,-74.00877,40.71907,New York,Tribeca
2003,-73.99083,40.76092,New York,Clinton
2004,-73.98129,40.76111,New York,Theater District-Times Square
2005,-73.97978,40.78032,New York,Upper West Side
2006,-73.99117,40.70267,Brooklyn,Dumbo
2007,-73.99956,40.72233,New York,Soho
2008,-73.9853,40.75757,New York,Theater District-Times Square
2009,-73.99161,40.74735,New York,Chelsea
2010,-73.97996,40.69351,Brooklyn,Downtown Brooklyn
2011,-74.00019,40.71927,New York,Chinatown
2012,-73.95448,40.7757,New York,Yorkville
2013,-73.99511,40.76971,New York,Clinton
2014,-73.9586,40.76409,New York,Upper East Side
2015,-73.99436,40.72455,New York,Nolita
2016,-73.95915,40.70877,Brooklyn,Williamsburg
2017,-73.9729,40.76519,New York,Central Park
2018,-73.9903,40.71428,New York,Chinatown
2019,-73.9875,40.77104,New York,Lincoln Square
2020,-73.98477,40.73613,New York,Gramercy Park
2021,-73.95911,40.78333,New York,Upper East Side
2022,-73.99992,40.72703,New York,Greenwich Village
2023,-73.90905,40.75897,Astoria,Astoria
2024,-73.98142,40.73713,New York,Gramercy Park
2025,-73.98166,40.73262,New York,Gramercy Park
2026,-73.97896,40.76428,New York,Clinton
2027,-73.97503,40.75093,New York,Murray Hill
2028,-74.00674,40.70799,New York,Financial District
2029,-74.01622,40.70644,New York,Financial District
2030,-73.97869,40.75156,New York,Midtown South Central
2031,-73.87801,40.90876,Yonkers,Lincoln Park
2032,-73.92231,40.73032,Maspeth,Maspeth
2033,-73.98745,40.7803,New York,Lincoln Square
2034,-73.9714,40.76512,New York,Upper East Side
2035,-73.88221,40.75599,Jackson Heights,Jackson Heights
2036,-73.99283,40.74283,New York,Chelsea
2037,-73.95883,40.80994,New York,Morningside Heights
2038,-73.97625,40.73595,New York,Kips Bay
2039,0,0,,
2040,-73.98082,40.75339,New York,Midtown Center
2041,-73.96839,40.7679,New York,Upper East Side
2042,-73.97329,40.74708,New York,Murray Hill
2043,-73.97352,40.76234,New York,Midtown Center
2044,-73.9922,40.75418,New York,Garment District
2045,-73.9837,40.74496,New York,Midtown South Central
2046,0,0,,
2047,-73.97611,40.73592,New York,Kips Bay
2048,-73.98433,40.75458,New York,Theater District-Times Square
2049,-73.9979,40.75109,New York,Chelsea
2050,-73.97252,40.74954,New York,Murray Hill
2051,-73.97017,40.7502,New York,Turtle Bay
2052,-73.97697,40.74531,New York,Murray Hill
2053,-73.97825,40.76293,New York,Clinton
2054,-74.00421,40.74259,New York,Chelsea
2055,-73.98998,40.74006,New York,Flatiron District
2056,-73.98902,40.70328,Brooklyn,Dumbo
2057,-74.00788,40.74661,New York,Chelsea
2058,-73.95892,40.77079,New York,Upper East Side
2059,-74.00538,40.73969,New York,West Village
2060,-74.00061,40.70829,New York,Financial District
2061,-73.94716,40.77981,New York,Yorkville
2062,-73.98593,40.75235,New York,Garment District
2063,-73.96434,40.76309,New York,Upper East Side
2064,-73.99131,40.75003,New York,Chelsea
2065,-73.95805,40.76738,New York,Upper East Side
2066,-74.00547,40.70915,New York,Financial District
2067,-73.98771,40.74089,New York,Midtown South Central
2068,-73.97151,40.76645,New York,Upper East Side
2069,-73.98839,40.76944,New York,Clinton
2070,-73.97864,40.78167,New York,Upper West Side
2071,-73.96188,40.75976,New York,Upper East Side
2072,-73.96747,40.7929,New York,Upper West Side
2073,-73.98531,40.75637,New York,Theater District-Times Square
2074,-73.98444,40.7644,New York,Clinton
2075,-73.98808,40.75045,New York,Garment District
2076,-74.00017,40.7302,New York,Greenwich Village
2077,-73.89695,40.91461,Yonkers,Park Hills
2078,-74.00565,40.737,New York,West Village
2079,-73.96866,40.79142,New York,Upper West Side
2080,-73.98896,40.74816,New York,Koreatown
2081,-73.8772,40.66418,Brooklyn,Spring Creek
2082,-73.98902,40.74127,New York,Flatiron District
2083,-73.95209,40.73277,Brooklyn,Greenpoint
2084,-74.0022,40.72647,New York,Soho
2085,-73.97068,40.7615,New York,Midtown Center
2086,-74.00299,40.75038,New York,Chelsea
2087,-74.00717,40.7053,New York,Financial District
2088,-73.95625,40.78431,New York,Upper East Side
2089,-73.98224,40.74327,New York,Kips Bay
2090,-73.99223,40.73856,New York,Flatiron District
2091,-73.97227,40.74731,New York,Murray Hill
2092,-73.99817,40.7507,New York,Chelsea
2093,-73.95535,40.77701,New York,Upper East Side
2094,-73.99681,40.73743,New York,Chelsea
2095,-73.97949,40.73552,New York,Gramercy Park
2096,-74.00861,40.73335,New York,West Village
2097,-74.00921,40.71071,New York,Financial District
2098,-73.99078,40.75053,New York,Chelsea
2099,-73.98034,40.78547,New York,Upper West Side
2100,-74.00204,40.74752,New York,Chelsea
2101,-73.96591,40.79524,New York,Upper West Side
2102,-73.99082,40.74883,New York,Chelsea
2103,-74.00239,40.7554,New York,Chelsea
2104,-73.78935,40.6423,Jamaica,
2105,-73.98474,40.75273,New York,Midtown South Central
2106,-74.02435,40.7626,Weehawken,
2107,-73.99696,40.76116,New York,Clinton
2108,-73.98517,40.72758,New York,East Village
2109,-73.97017,40.78592,New York,Upper West Side
2110,-73.98198,40.7483,New York,Midtown South Central
2111,-73.87094,40.77416,Flushing,East Elmhurst
2112,-73.94291,40.84045,New York,Washington Heights South
2113,-73.95467,40.78931,New York,East Harlem
2114,-73.98975,40.73376,New York,Greenwich Village
2115,-74.01131,40.70317,New York,Financial District
2116,-73.94736,40.81683,New York,Harlem
2117,-73.98626,40.77891,New York,Lincoln Square
2118,-73.97946,40.76556,New York,Clinton
2119,-73.98615,40.72695,New York,East Village
2120,-73.9467,40.77243,New York,Yorkville
2121,-73.98989,40.75727,New York,Garment District
2122,-73.95123,40.77415,New York,Yorkville
2123,-73.97293,40.79545,New York,Upper West Side
2124,-73.99149,40.74069,New York,Flatiron District
2125,-73.9802,40.75084,New York,Midtown South Central
2126,-73.99664,40.73751,New York,Greenwich Village
2127,-73.981,40.77672,New York,Lincoln Square
2128,-74.00702,40.7364,New York,West Village
2129,-73.98361,40.74119,New York,Kips Bay
2130,-73.99376,40.72125,New York,Nolita
2131,-73.9795,40.72921,New York,East Village
2132,-74.00922,40.73875,New York,West Village
2133,-73.96996,40.75663,New York,Turtle Bay
2134,-73.97353,40.76319,New York,Midtown Center
2135,-73.95597,40.78186,New York,Upper East Side
2136,-73.97816,40.75985,New York,Midtown Center
2137,-73.97915,40.76474,New York,Clinton
2138,-73.98883,40.75627,New York,Theater District-Times Square
2139,-73.95095,40.77755,New York,Yorkville
2140,-73.95315,40.79154,New York,East Harlem
2141,-73.98532,40.7386,New York,Gramercy Park
2142,-73.96495,40.77243,New York,Upper East Side
2143,-73.95992,40.77884,New York,Upper East Side
2144,-73.95325,40.78603,New York,Upper East Side
2145,-73.98749,40.70142,Brooklyn,Dumbo
2146,-73.95668,40.78005,New York,Upper East Side
2147,-73.99816,40.73545,New York,Greenwich Village
2148,-73.98559,40.74871,New York,Koreatown
2149,-73.97828,40.76226,New York,Midtown Center
2150,-73.95375,40.78286,New York,Upper East Side
2151,-73.98713,40.75941,New York,Theater District-Times Square
2152,-73.97767,40.78423,New York,Upper West Side
2153,-73.97934,40.72,New York,Lower East Side
2154,-73.99161,40.74426,New York,Midtown South Central
2155,-73.95231,40.78382,New York,Upper East Side
2156,-73.97522,40.75825,New York,Midtown Center
2157,-73.96542,40.76678,New York,Upper East Side
2158,0,0,,
2159,-73.9213,40.75476,Long Island City,Astoria
2160,-73.95261,40.7893,New York,East Harlem
2161,-74.01441,40.71547,New York,Battery Park City
2162,-73.98301,40.73085,New York,East Village
2163,-73.95189,40.78624,New York,Upper East Side
2164,-73.98707,40.75188,New York,Garment District
2165,-73.94985,40.79009,New York,East Harlem
2166,-73.95375,40.78471,New York,Upper East Side
2167,-73.98112,40.73081,New York,East Village
2168,-73.96119,40.80627,New York,Morningside Heights
2169,-73.98571,40.76087,New York,Theater District-Times Square
2170,-73.98676,40.7266,New York,East Village
2171,-73.95388,40.77541,New York,Yorkville
2172,-73.96808,40.79927,New York,Upper West Side
2173,-73.97639,40.7756,New York,Lincoln Square
2174,-73.97363,40.76165,New York,Midtown Center
2175,-73.97843,40.75099,New York,Murray Hill
2176,-74.00819,40.71509,New York,Tribeca
2177,-74.00326,40.73513,New York,West Village
2178,-73.98588,40.75415,New York,Theater District-Times Square
2179,-73.95955,40.79875,New York,Upper West Side
2180,-73.97,40.8005,New York,Upper West Side
2181,-73.98421,40.74746,New York,Midtown South Central
2182,-73.98972,40.73683,New York,Flatiron District
2183,-73.93975,40.79013,New York,East Harlem
2184,-73.98654,40.75973,New York,Theater District-Times Square
2185,-73.99155,40.75519,New York,Garment District
2186,-73.99997,40.71907,New York,Chinatown
2187,-73.99616,40.73796,New York,Flatiron District
2188,-73.98247,40.77246,New York,Lincoln Square
2189,-73.97268,40.75576,New York,Midtown Center
2190,-73.98187,40.76261,New York,Theater District-Times Square
2191,-73.78208,40.64429,Jamaica,
2192,-73.97526,40.74447,New York,Kips Bay
2193,-73.93679,40.70502,Brooklyn,East Williamsburg
2194,-73.98927,40.75305,New York,Garment District
2195,-73.96622,40.7655,New York,Upper East Side
2196,-74.00167,40.73233,New York,West Village
2197,-73.97216,40.74601,New York,Tudor City
2198,-73.93391,40.85634,New York,Washington Heights North
2199,-73.97381,40.78299,New York,Upper West Side
2200,-73.98813,40.72038,New York,Lower East Side
2201,-73.95283,40.76648,New York,Upper East Side
2202,-73.91015,40.77176,Astoria,Ditmars Steinway
2203,-73.98284,40.74475,New York,Kips Bay
2204,-73.95361,40.77263,New York,Upper East Side
2205,-73.99859,40.71704,New York,Chinatown
2206,-73.9763,40.78226,New York,Upper West Side
2207,-73.99067,40.75601,New York,Theater District-Times Square
2208,-73.98686,40.74033,New York,Flatiron District
2209,-73.9413,40.84178,New York,Washington Heights South
2210,-73.98255,40.76684,New York,Clinton
2211,-74.00679,40.70781,New York,Financial District
2212,-73.9469,40.77625,New York,Yorkville
2213,-73.96075,40.71114,Brooklyn,Williamsburg
2214,-73.98267,40.77164,New York,Lincoln Square
2215,-73.98869,40.74861,New York,Chelsea
2216,-73.94509,40.77679,New York,Yorkville
2217,-73.95434,40.77138,New York,Upper East Side
2218,-73.99157,40.7389,New York,Flatiron District
2219,-73.98711,40.72909,New York,East Village
2220,-73.98414,40.73742,New York,Gramercy Park
2221,-73.98664,40.7603,New York,Theater District-Times Square
2222,-73.97931,40.76246,New York,Clinton
2223,-73.96863,40.78624,New York,Central Park
2224,-73.92968,40.75425,Long Island City,Astoria
2225,-73.912,40.76469,Astoria,Astoria
2226,-73.97079,40.76074,New York,Midtown Center
2227,-73.975,40.79025,New York,Upper West Side
2228,-73.85844,40.84513,Bronx,Morris Park
2229,-73.8788,40.6572,Brooklyn,Spring Creek
2230,-73.99011,40.75997,New York,Clinton
2231,-73.98604,40.72651,New York,East Village
2232,-73.97041,40.7593,New York,Midtown Center
2233,-73.95975,40.7587,New York,Upper East Side
2234,-73.97459,40.76155,New York,Midtown Center
2235,-73.958,40.76204,New York,Upper East Side
2236,-73.99472,40.75944,New York,Clinton
2237,-73.98995,40.72725,New York,East Village
2238,-73.98607,40.75907,New York,Theater District-Times Square
2239,-74.00308,40.75631,New York,Hells Kitchen
2240,-73.9854,40.73173,New York,East Village
2241,-74.0064,40.73948,New York,West Village
2242,-73.98378,40.74153,New York,Kips Bay
2243,-73.97692,40.7473,New York,Murray Hill
2244,-73.97071,40.69603,Brooklyn,Clinton Hill
2245,-74.0026,40.7341,New York,West Village
2246,-73.9896,40.74384,New York,Midtown South Central
2247,-73.94019,40.79767,New York,East Harlem
2248,-73.97397,40.75797,New York,Midtown Center
2249,-73.97394,40.7893,New York,Upper West Side
2250,-73.95702,40.77669,New York,Upper East Side
2251,-73.95058,40.82233,New York,Hamilton Heights
2252,-73.9718,40.74948,New York,Murray Hill
2253,-73.96282,40.77486,New York,Upper East Side
2254,-73.92901,40.85076,New York,Washington Heights North
2255,-73.98506,40.73331,New York,Gramercy Park
2256,-74.01061,40.72022,New York,Tribeca
2257,-74.00612,40.73984,New York,West Village
2258,-73.92354,40.74352,Sunnyside,Sunnyside
2259,-73.95619,40.77184,New York,Upper East Side
2260,-73.99751,40.73775,New York,Chelsea
2261,-73.98451,40.76246,New York,Theater District-Times Square
2262,-73.96913,40.75174,New York,Turtle Bay
2263,-73.99573,40.76456,New York,Clinton
2264,-73.96306,40.71169,Brooklyn,Williamsburg
2265,-73.99134,40.74904,New York,Chelsea
2266,-73.97919,40.74457,New York,Kips Bay
2267,-73.99463,40.75055,New York,Chelsea
2268,-73.95642,40.76712,New York,Upper East Side
2269,-73.87307,40.73566,Elmhurst,Elmhurst
2270,-74.00433,40.70753,New York,Financial District
2271,-73.97407,40.74412,New York,Murray Hill
2272,-73.97233,40.75957,New York,Midtown Center
2273,-73.95681,40.78592,New York,Upper East Side
2274,-73.98359,40.74422,New York,Midtown South Central
2275,-73.98782,40.72101,New York,Lower East Side
2276,-73.95776,40.78217,New York,Upper East Side
2277,-73.94286,40.78571,New York,East Harlem
2278,-74.00548,40.72732,New York,Soho
2279,-73.98596,40.7457,New York,Midtown South Central
2280,-73.96882,40.75426,New York,Turtle Bay
2281,-73.96031,40.77895,New York,Upper East Side
2282,-73.96607,40.80814,New York,Morningside Heights
2283,-73.97146,40.76509,New York,Upper East Side
2284,-73.93288,40.80249,New York,East Harlem
2285,-73.97815,40.72147,New York,East Village
2286,-73.96989,40.75759,New York,Midtown Center
2287,-73.95907,40.77335,New York,Upper East Side
2288,-73.98411,40.76494,New York,Clinton
2289,-73.97845,40.75642,New York,Midtown Center
2290,-73.97734,40.77845,New York,Upper West Side
2291,-73.95732,40.77419,New York,Upper East Side
2292,-73.92292,40.79348,New York,
2293,-73.98445,40.76718,New York,Clinton
2294,-73.96482,40.75915,New York,Turtle Bay
2295,-73.98776,40.72128,New York,Lower East Side
2296,-73.99675,40.72389,New York,Soho
2297,-73.99858,40.72964,New York,Greenwich Village
2298,-73.97317,40.78696,New York,Upper West Side
2299,-73.9794,40.7817,New York,Upper West Side
2300,-73.98794,40.73216,New York,East Village
2301,-73.86501,40.77054,Flushing,East Elmhurst
2302,-74.01006,40.72112,New York,Tribeca
2303,-74.00278,40.76055,New York,Hells Kitchen
2304,-73.99077,40.75072,New York,Chelsea
2305,-73.92833,40.69316,Brooklyn,Bushwick
2306,-73.99907,40.74454,New York,Chelsea
2307,-73.94805,40.78283,New York,Yorkville
2308,-73.98581,40.7447,New York,Midtown South Central
2309,-73.99102,40.75043,New York,Chelsea
2310,-73.98465,40.7695,New York,Lincoln Square
2311,-73.97427,40.76277,New York,Midtown Center
2312,-73.97589,40.75435,New York,Midtown Center
2313,-73.98783,40.72261,New York,Lower East Side
2314,-73.96101,40.78015,New York,Upper East Side
2315,-73.98575,40.75376,New York,Garment District
2316,-73.98345,40.74431,New York,Midtown South Central
2317,-73.77003,40.77609,Bayside,Bayside
2318,-73.97453,40.75035,New York,Murray Hill
2319,-73.96445,40.75404,New York,Turtle Bay
2320,-73.98535,40.77603,New York,Lincoln Square
2321,-74.0079,40.7437,New York,Chelsea
2322,-73.9913,40.75037,New York,Chelsea
2323,-73.96909,40.74959,New York,Turtle Bay
2324,-73.95986,40.79819,New York,Upper West Side
2325,-73.87231,40.77435,Flushing,
2326,-74.00739,40.75102,New York,Chelsea
2327,-74.00439,40.72965,New York,West Village
2328,-73.95116,40.72799,Brooklyn,Greenpoint
2329,-73.97558,40.75174,New York,Midtown Center
2330,-73.98555,40.75805,New York,Theater District-Times Square
2331,-73.86137,40.76802,Flushing,
2332,-73.95129,40.77034,New York,Upper East Side
2333,-73.93074,40.69438,Brooklyn,Bedford-Stuyvesant
2334,-73.9802,40.72236,New York,East Village
2335,-73.97941,40.75504,New York,Midtown Center
2336,-73.99323,40.76765,New York,Clinton
2337,-73.97778,40.74612,New York,Murray Hill
2338,-73.9858,40.75628,New York,Theater District-Times Square
2339,-73.9888,40.73132,New York,Greenwich Village
2340,-73.99502,40.75002,New York,Chelsea
2341,-74.00646,40.7391,New York,West Village
2342,-73.99951,40.72848,New York,Greenwich Village
2343,-73.9531,40.78338,New York,Upper East Side
2344,-73.98065,40.74277,New York,Kips Bay
2345,-73.98556,40.73551,New York,Gramercy Park
2346,-73.97822,40.75136,New York,Murray Hill
2347,-73.94336,40.836,New York,Washington Heights South
2348,-73.97277,40.76461,New York,Central Park
2349,-74.00063,40.74237,New York,Chelsea
2350,-73.99025,40.74193,New York,Midtown South Central
2351,-73.98357,40.73425,New York,Gramercy Park
2352,-73.98657,40.75856,New York,Theater District-Times Square
2353,-74.01693,40.70649,New York,Battery Park City
2354,-73.94371,40.7482,Long Island City,Long Island City
2355,-73.94955,40.77698,New York,Yorkville
2356,-73.97906,40.72496,New York,East Village
2357,-73.96991,40.7685,New York,Upper East Side
2358,-73.98201,40.75636,New York,Midtown Center
2359,-73.99211,40.72585,New York,Noho
2360,-73.9903,40.7407,New York,Flatiron District
2361,-74.01513,40.71561,New York,Battery Park City
2362,-73.99511,40.75924,New York,Hells Kitchen
2363,-73.98715,40.73625,New York,Gramercy Park
2364,-73.97193,40.74489,New York,Tudor City
2365,-74.00361,40.74768,New York,Chelsea
2366,-74.00213,40.68623,Brooklyn,Columbia Street Waterfront District
2367,-73.94753,40.78777,New York,East Harlem
2368,-73.92247,40.6817,Brooklyn,Bedford-Stuyvesant
2369,-74.01013,40.70983,New York,Financial District
2370,-73.99797,40.76158,New York,Clinton
2371,-73.99863,40.73818,New York,Chelsea
2372,-73.98494,40.74199,New York,Kips Bay
2373,-73.97384,40.76123,New York,Midtown Center
2374,-73.98239,40.77093,New York,Lincoln Square
2375,-74.00505,40.74124,New York,Chelsea
2376,-73.99008,40.71893,New York,Lower East Side
2377,-74.00287,40.74843,New York,Chelsea
2378,-73.95329,40.78856,New York,East Harlem
2379,-74.01794,40.70542,New York,Battery Park City
2380,-73.92911,40.69334,Brooklyn,Bedford-Stuyvesant
2381,-73.98713,40.74486,New York,Midtown South Central
2382,-73.9691,40.75108,New York,Turtle Bay
2383,-74.00846,40.71673,New York,Tribeca
2384,-73.99313,40.72695,New York,Noho
2385,-73.99213,40.75119,New York,Chelsea
2386,-74.03691,40.61706,Brooklyn,Bay Ridge & Fort Hamilton
2387,-73.99299,40.74303,New York,Chelsea
2388,-74.00292,40.73127,New York,West Village
2389,-73.97861,40.78577,New York,Upper West Side
2390,-73.93809,40.80459,New York,East Harlem
2391,-74.00188,40.75494,New York,Chelsea
2392,-73.99168,40.74731,New York,Chelsea
2393,-73.97423,40.75676,New York,Midtown Center
2394,-73.98209,40.7246,New York,East Village
2395,-73.99214,40.72486,New York,East Village
2396,-74.00594,40.72476,New York,Soho
2397,-73.97329,40.7576,New York,Midtown Center
2398,-73.99865,40.71696,New York,Chinatown
2399,-73.956,40.78477,New York,Upper East Side
2400,-73.90687,40.75889,Woodside,Woodside
2401,0,0,,
2402,-73.96772,40.79284,New York,Upper West Side
2403,-73.98075,40.75916,New York,Midtown Center
2404,-73.98267,40.76006,New York,Theater District-Times Square
2405,-74.00516,40.75053,New York,Chelsea
2406,0,0,,
2407,-73.98503,40.67487,Brooklyn,Gowanus
2408,-73.97309,40.76143,New York,Midtown Center
2409,-73.98044,40.73682,New York,Gramercy Park
2410,-73.97525,40.75913,New York,Midtown Center
2411,-73.98806,40.75313,New York,Garment District
2412,-73.99444,40.76327,New York,Clinton
2413,-73.98527,40.75924,New York,Theater District-Times Square
2414,-74.00601,40.73519,New York,West Village
2415,-73.99727,40.6936,Brooklyn,
2416,-73.97587,40.7706,New York,Central Park
2417,-73.98778,40.76431,New York,Clinton
2418,-73.99531,40.7604,New York,Clinton
2419,-73.98996,40.77238,New York,Lincoln Square
2420,-73.95913,40.77169,New York,Upper East Side
2421,-73.97026,40.75631,New York,Turtle Bay
2422,-74.00629,40.74045,New York,Meatpacking District
2423,-73.98513,40.77503,New York,Lincoln Square
2424,-73.98971,40.73928,New York,Flatiron District
2425,-73.97742,40.7647,New York,Clinton
2426,-73.96962,40.79951,New York,Upper West Side
2427,-73.9651,40.79286,New York,Upper West Side
2428,-73.98658,40.75519,New York,Theater District-Times Square
2429,-73.968,40.76783,New York,Upper East Side
2430,-73.90631,40.70419,Ridgewood,Ridgewood
2431,-73.96531,40.75809,New York,Turtle Bay
2432,-73.98194,40.76671,New York,Clinton
2433,-73.96112,40.71453,Brooklyn,Williamsburg
2434,-73.94479,40.82659,New York,Harlem
2435,-73.98047,40.76383,New York,Clinton
2436,-73.98663,40.76256,New York,Clinton
2437,-73.99704,40.72544,New York,Soho
2438,-73.96207,40.76774,New York,Upper East Side
2439,-73.97889,40.72843,New York,East Village
2440,-73.9694,40.75752,New York,Turtle Bay
2441,-73.78204,40.64866,Jamaica,
2442,-73.98478,40.72415,New York,East Village
2443,-73.98225,40.74622,,
2444,-73.97697,40.77669,,
2445,-73.98376,40.78054,New York,Upper West Side
2446,-73.98362,40.75024,New York,Midtown South Central
2447,-73.99392,40.74565,New York,Chelsea
2448,-73.99633,40.74303,New York,Chelsea
2449,-73.97778,40.7612,New York,Midtown Center
2450,-73.92159,40.75584,Long Island City,Astoria
2451,-73.98049,40.75328,New York,Midtown South Central
2452,-73.98018,40.75895,New York,Midtown Center
2453,-73.86195,40.76849,Flushing,
2454,-73.96703,40.80023,New York,Upper West Side
2455,-73.97864,40.78296,New York,Upper West Side
2456,-73.95722,40.78025,New York,Upper East Side
2457,0,0,,
2458,-73.96287,40.76685,New York,Upper East Side
2459,-73.9568,40.80417,New York,Morningside Heights
2460,-73.99613,40.75364,New York,Garment District
2461,-73.99098,40.76586,New York,Clinton
2462,-73.96254,40.75883,New York,Turtle Bay
2463,-73.98936,40.75346,New York,Garment District
2464,-73.93946,40.7927,New York,East Harlem
2465,-73.98551,40.70375,Brooklyn,Dumbo
2466,-73.95738,40.80158,New York,Harlem
2467,-73.99898,40.74468,New York,Chelsea
2468,-73.90836,40.88264,Bronx,Kingsbridge
2469,-74.00369,40.73817,New York,West Village
2470,-73.97326,40.75011,New York,Murray Hill
2471,-74.00241,40.73427,New York,West Village
2472,0,0,,
2473,-73.96057,40.77235,New York,Upper East Side
2474,-73.76115,40.71429,Hollis,Hollis
2475,-73.78198,40.64436,Jamaica,
2476,-73.98283,40.73613,New York,Gramercy Park
2477,-73.97882,40.7527,New York,Midtown Center
2478,-73.95756,40.77895,New York,Upper East Side
2479,-73.99574,40.75939,New York,Hells Kitchen
2480,-73.97165,40.76043,New York,Midtown Center
2481,-73.96926,40.75858,New York,Midtown Center
2482,-73.98468,40.75238,New York,Midtown South Central
2483,-73.96213,40.80529,New York,Morningside Heights
2484,-73.98764,40.74905,New York,Koreatown
2485,-73.99276,40.75087,New York,Chelsea
2486,-73.95652,40.80275,New York,Morningside Heights
2487,-73.95436,40.74151,Long Island City,Hunters Point
2488,-73.96052,40.77306,New York,Upper East Side
2489,-73.96354,40.76432,New York,Upper East Side
2490,0,0,,
2491,-73.99976,40.73782,New York,West Village
2492,-73.99865,40.72621,New York,Soho
2493,-73.96441,40.80722,New York,Morningside Heights
2494,-73.96573,40.75543,New York,Turtle Bay
2495,-73.98308,40.69313,Brooklyn,Downtown Brooklyn
2496,-73.99299,40.72694,New York,Noho
2497,-73.99264,40.69388,Brooklyn,
2498,-73.98441,40.72481,New York,East Village
2499,-74.00256,40.76067,New York,Hells Kitchen
2500,-73.98604,40.74703,New York,Koreatown
2501,-73.95404,40.77379,New York,Yorkville
2502,-73.98339,40.76441,New York,Clinton
2503,-74.00905,40.71108,New York,Financial District
2504,-73.98704,40.72232,New York,Lower East Side
2505,-74.00615,40.71178,New York,Financial District
2506,-73.87247,40.77443,Flushing,
2507,-73.9925,40.74327,New York,Chelsea
2508,-74.00984,40.72231,New York,Tribeca
2509,-73.97861,40.76388,New York,Clinton
2510,-74.00507,40.74113,New York,Chelsea
2511,-73.9759,40.74478,New York,Kips Bay
2512,-73.99836,40.72506,New York,Soho
2513,-73.9821,40.7698,New York,Lincoln Square
2514,-74.01754,40.70945,New York,Battery Park City
2515,-74.00165,40.74671,New York,Chelsea
2516,-74.01012,40.71537,New York,Tribeca
2517,-74.00537,40.74829,New York,Chelsea
2518,-73.95396,40.77047,New York,Upper East Side
2519,-73.99052,40.74426,New York,Midtown South Central
2520,-73.91812,40.75854,Astoria,Astoria
2521,-73.97074,40.74945,New York,Turtle Bay
2522,-73.97536,40.7534,New York,Midtown Center
2523,-73.9764,40.75716,New York,Midtown Center
2524,-73.98096,40.74186,New York,Kips Bay
2525,-73.99901,40.68093,Brooklyn,Carroll Gardens
2526,-73.99568,40.71657,New York,Chinatown
2527,-73.96462,40.7573,New York,Turtle Bay
2528,-73.87117,40.77421,Flushing,East Elmhurst
2529,-73.97465,40.68155,Brooklyn,Prospect Heights
2530,-73.97179,40.7904,New York,Upper West Side
2531,-73.95707,40.77848,New York,Upper East Side
2532,-74.00638,40.70538,New York,Financial District
2533,-73.93756,40.79322,New York,East Harlem
2534,-74.00532,40.7462,New York,Chelsea
2535,-73.97781,40.74148,New York,Kips Bay
2536,-73.9716,40.79227,New York,Upper West Side
2537,-73.99149,40.75541,New York,Garment District
2538,-73.99757,40.76138,New York,Clinton
2539,-73.97118,40.75737,New York,Midtown Center
2540,-73.75986,40.7238,Queens Village,Holliswood
2541,-74.013,40.71742,New York,Battery Park City
2542,-73.92632,40.74199,Sunnyside,Sunnyside
2543,-74.0164,40.7052,New York,Financial District
2544,-73.9533,40.77257,New York,Upper East Side
2545,-73.94915,40.83405,New York,Harlem
2546,-73.94638,40.78098,New York,Yorkville
2547,-73.98237,40.72355,New York,East Village
2548,-73.95347,40.76414,New York,Upper East Side
2549,-74.00419,40.7425,New York,Chelsea
2550,-73.99624,40.7404,New York,Chelsea
2551,-73.95749,40.76996,New York,Upper East Side
2552,-73.96145,40.7775,New York,Upper East Side
