STT,dropoff_longitude,dropoff_latitude,DOCensus_Tract
289,-73.95693,40.77987,14801
290,-73.95649,40.76515,11600
291,-73.78565,40.71289,46600
292,-73.98816,40.73785,5200
293,-73.96913,40.67587,20700
294,-73.98958,40.75706,11300
295,-73.99204,40.73361,6100
296,-73.98202,40.7713,14900
297,-73.96785,40.75992,11203
298,-73.98441,40.74301,5600
299,-73.98569,40.779,15900
300,-73.952,40.78137,15400
301,-73.98546,40.73868,6800
302,-73.94782,40.7797,15400
303,-73.98485,40.75923,12500
304,-73.95303,40.72698,56100
305,-73.9659,40.7563,9800
306,-73.99839,40.7321,6500
307,-73.99237,40.72125,1800
308,-73.99603,40.73214,5900
309,-73.94247,40.84168,25500
310,-73.97469,40.76156,10200
311,-73.9822,40.77544,15300
312,-74.00342,40.72767,3700
313,-74.00546,40.74838,9900
314,-73.98279,40.71471,1401
315,-73.95736,40.69111,23500
316,-74.00859,40.71999,3900
317,-73.99133,40.7501,10100
318,-73.98446,40.76481,13300
319,-73.98932,40.77775,15500
320,-73.98073,40.76485,13700
321,-73.98917,40.74294,5800
322,-73.94102,40.79489,18000
323,-73.9796,40.74056,6600
324,-73.98572,40.75061,8400
325,-74.0747,40.73995,6900
326,-73.99528,40.72155,4300
327,-73.95129,40.77687,14601
328,-73.86887,40.7713,33100
329,-73.98324,40.73454,4800
330,-73.99737,40.71943,4100
331,-73.98714,40.74301,5600
332,-73.95553,40.7685,12600
333,-73.95179,40.73479,57900
334,-73.97501,40.79057,17500
335,-73.99341,40.7712,13500
336,-73.99195,40.76971,13500
337,-73.99363,40.74983,10100
338,-73.96617,40.76505,12000
339,-73.9791,40.7625,13100
340,-74.00781,40.71329,2100
341,-73.9661,40.79499,18500
342,-73.98324,40.74941,8200
343,-73.97301,40.68964,18300
344,-73.94252,40.71463,49700
345,-73.99113,40.73946,5400
346,-73.99316,40.72288,4300
347,-73.97975,40.77286,15300
348,-73.95763,40.76533,11600
349,-73.95364,40.77855,14601
350,-74.00339,40.68149,5100
351,-73.98805,40.76305,12700
352,-73.92044,40.86644,29300
353,-73.94892,40.79706,17402
354,-73.97346,40.76065,10200
355,-73.99308,40.74207,5800
356,-73.98022,40.75151,8200
357,-73.9648,40.77773,14300
