STT,pickup_longitude,pickup_latitude,PUCensus_Tract
97,-73.99311,40.72717,5502
98,-73.99004,40.76198,12700
99,-73.98219,40.76523,13700
100,0,0,
101,-74.00196,40.74595,9300
102,-73.98287,40.74199,6800
103,-73.97081,40.7485,8800
104,-73.9852,40.73583,4800
105,-73.96847,40.76191,11203
106,-73.99469,40.75044,10100
107,-74.01184,40.70264,900
108,-73.99799,40.76336,12900
109,-73.97739,40.78433,16500
110,-73.98131,40.78115,16300
111,-73.96814,40.69323,19100
112,-73.98575,40.74385,5600
113,-73.8273,40.7161,38302
114,-73.98562,40.76114,12500
115,-73.9865,40.74016,5600
116,-73.95311,40.7676,12400
117,-73.98094,40.7654,13700
118,-73.98288,40.76496,13700
119,-73.96583,40.77124,13000
120,-73.9991,40.72973,6500
121,-73.97124,40.7607,10000
122,-73.7827,40.64869,71600
123,-73.95327,40.76756,12400
124,-73.96069,40.76963,12800
125,-73.9425,40.77745,14402
126,-74.0075,40.743,8300
127,-73.99185,40.72649,5502
128,-74.00273,40.74805,9300
129,-73.96589,40.76793,12000
130,-73.98707,40.76425,13300
131,-73.99063,40.73691,5200
132,-73.97116,40.76382,11401
133,-73.97232,40.79665,18700
134,-73.99347,40.76051,12100
135,-73.96624,40.77063,13000
136,-73.98883,40.72718,3800
137,-73.98697,40.75537,11300
138,-73.97342,40.76367,11202
139,-73.98956,40.7336,4200
140,-73.95265,40.76852,13200
141,-73.97327,40.75034,8800
142,-74.00208,40.71486,2900
143,-73.97324,40.75935,10200
144,-73.98111,40.77912,15700
145,-73.99877,40.73977,8100
146,-73.9843,40.75948,12500
147,-73.99929,40.72661,4900
148,-73.98725,40.76087,12700
149,-73.98651,40.74729,7600
150,-73.92546,40.79097,24000
151,0,0,
152,-73.98756,40.73289,4200
153,-73.98595,40.76749,13900
154,-73.98193,40.74336,7200
155,-73.96303,40.79924,18900
156,-73.96229,40.7791,14300
157,-73.98673,40.74277,5600
158,-73.98219,40.76291,13100
159,-73.98655,40.73416,5000
160,-73.96597,40.76051,10800
161,-73.96229,40.76799,12000
162,-73.97878,40.74781,8000
163,-74.00229,40.73961,7700
164,-73.98354,40.72584,3200
165,-73.98401,40.7294,4000
166,-73.98591,40.74091,5600
167,-73.98113,40.76492,13700
168,-74.00504,40.71917,3300
169,-74.0034,40.74364,8900
170,-73.88931,40.7549,28700
171,-73.95934,40.76317,11600
172,-73.95248,40.77725,14601
173,-74.00427,40.72404,4700
